Rank,PlayerID,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,19803,Mark Andrews,BAL,TE,17,154,107,69.5,1361,9,43,8.8,12.7,1,0,0,0,1,0,11.4,194.1
2,15048,Travis Kelce,KC,TE,16,134,92,68.7,1125,9,69,8.4,12.2,2,3,1.5,1,1,1,10.7,170.8
3,19920,Dalton Schultz,DAL,TE,17,104,78,75,808,8,32,7.8,10.4,0,0,0,0,0,0,7.7,130.8
4,19063,George Kittle,SF,TE,14,94,71,75.5,910,6,48,9.7,12.8,3,20,6.7,0,2,1,9.1,127
5,10974,Rob Gronkowski,TB,TE,12,89,55,61.8,802,6,42,9,14.6,0,0,0,0,0,0,9.7,116.2
6,20850,Dawson Knox,BUF,TE,15,71,49,69,587,9,53,8.3,12,0,4,0,0,0,0,7.7,115.1
7,17975,Hunter Henry,NE,TE,17,75,50,66.7,603,9,35,8,12.1,0,0,0,0,0,0,6.7,114.3
8,19863,Dallas Goedert,PHI,TE,15,76,56,73.7,830,4,45,10.9,14.8,0,0,0,0,1,0,7.3,109
9,22508,Kyle Pitts,ATL,TE,17,110,68,61.8,1026,1,61,9.3,15.1,0,0,0,0,0,0,6.4,108.6
10,14856,Zach Ertz,ARI,TE,17,112,74,66.1,763,5,47,6.8,10.3,1,4,4,0,0,0,6.3,106.7
11,19853,Mike Gesicki,MIA,TE,17,111,73,65.8,780,2,40,7,10.7,0,0,0,0,0,0,5.4,92
12,22507,Pat Freiermuth,PIT,TE,16,79,60,75.9,497,7,24,6.3,8.3,0,0,0,0,1,1,5.7,91.7
13,20753,Noah Fant,DEN,TE,16,90,68,75.6,670,4,35,7.4,9.9,0,0,0,0,0,0,5.7,91
