Rank,PlayerPlayerId,PlayerShortName,Targets,Receptions,ReceivingYards,ReceivingTDs,HogRate,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
1,15048,T. Kelce,150,103,1336,10,null,96.5,9.23,1385,86.6,13.4,150,26,10,7.3,26.6,1.96
2,14856,Z. Ertz,156,116,1163,8,null,95.4,7.57,1181,73.8,10.2,156,27,10,7.28,26.4,1.8
3,19063,G. Kittle,135,88,1377,5,null,94.2,7.77,1049,65.6,11.9,135,19,8,7.43,26.4,1.9
4,16451,E. Ebron,110,66,750,13,null,56.3,10.39,1143,71.4,17.3,110,21,16,7.39,17.4,2.02
5,8534,J. Cook,101,68,896,6,null,77.9,8.52,861,53.8,12.7,101,15,8,7.57,19,1.92
6,17963,A. Hooper,88,71,660,4,null,78.9,7.23,636,39.8,9,88,13,5,7.56,14.6,1.83
7,13275,K. Rudolph,81,64,634,4,null,91.4,7.56,612,38.2,9.6,81,15,11,7.81,13.7,1.87
8,15965,T. Burton,77,54,569,6,null,82,8.51,655,40.9,12.1,77,14,3,7.14,15.3,1.88
9,18876,D. Njoku,89,56,639,4,null,84.3,9.15,814,54.3,14.5,89,8,8,7.08,16.9,1.62
10,15239,V. McDonald,73,50,610,4,null,57.1,6.04,441,29.4,8.8,73,10,6,7.4,11.5,1.82
11,10974,R. Gronkowski,72,47,682,3,null,92.6,13.5,972,74.8,20.7,72,8,7,6.77,16.1,1.82
12,11488,J. Graham,91,55,636,2,null,77.7,9.6,874,54.6,15.9,91,10,7,7.2,14.7,1.44
13,18912,E. Engram,64,45,577,3,null,68.7,5.98,383,34.8,8.5,64,7,5,7.42,16.8,1.94
14,18901,O. Howard,48,34,565,5,null,63.4,11.81,567,56.7,16.7,48,7,2,7.45,11.7,2.51
15,15100,J. Reed,84,54,558,2,null,65.6,6.92,581,44.7,10.8,84,7,3,6.96,20.1,1.43
16,19947,C. Herndon,56,39,502,4,null,59.7,9.46,530,37.9,13.6,56,8,2,5.98,12.1,2.02
17,19803,M. Andrews,50,34,552,3,null,31.8,9.94,497,31.1,14.6,50,7,4,7.3,9.3,2.14
18,16917,C. Uzomah,66,43,439,3,null,86.8,7.88,520,32.5,12.1,66,6,5,6.78,12.4,1.59
19,19863,D. Goedert,42,33,334,4,null,54.7,8.02,337,24.1,10.2,42,7,6,8.39,8.4,2.15
20,11756,B. Watson,46,35,400,2,null,51.8,10.35,476,36.6,13.6,46,9,4,8.26,10.7,1.89
21,18935,G. Everett,51,33,320,3,null,35.8,6.31,322,21.5,9.8,51,11,5,7.16,9.9,1.66
22,19910,I. Thomas,49,36,333,2,null,72,6.59,323,32.3,9,49,7,3,6.89,14,1.66
23,19410,R. Seals-Jones,70,34,343,1,15,58.8,10.14,710,47.3,20.9,70,4,4,5.86,15.9,1.06
24,16853,J. Heuerman,49,31,281,2,null,81.1,5.57,273,24.8,8.8,49,13,6,6.89,12.9,1.45
