Rank,PlayerPlayerId,PlayerShortName,Targets,Receptions,ReceivingYards,ReceivingTDs,HogRate,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
1,19803,M. Andrews,154,107,1361,9,null,76.54,9.35,1440,84.7,13.5,154,20,13,7.35,26.64,1.96
2,15048,T. Kelce,135,92,1125,9,null,83.09,7.19,971,60.68,10.6,135,16,4,7.74,22.31,1.95
3,19920,D. Schultz,104,78,808,8,null,82.59,7.29,759,44.64,9.7,104,14,7,8.17,16.35,2.01
4,19063,G. Kittle,95,71,910,6,null,92.35,6.7,637,45.5,9,95,8,5,7.68,24.86,2.08
5,14856,Z. Ertz,112,74,763,5,null,70.22,6.67,748,44,10.1,112,18,9,6.69,19.31,1.61
6,22508,K. Pitts,110,68,1026,1,null,73.59,10.09,1110,65.29,16.3,110,15,4,7.4,20.25,1.61
7,10974,R. Gronkowski,89,55,802,6,null,76.19,10.53,938,78.16,17.1,89,12,8,7.69,17.21,1.92
8,19853,M. Gesicki,111,73,780,2,null,71.65,9.09,1010,59.41,13.8,111,12,5,7.52,18.56,1.49
9,19863,D. Goedert,76,56,830,4,null,78.04,8.81,670,44.66,12,76,6,2,7.76,18.62,2.17
10,17975,H. Henry,75,50,603,9,null,66.53,9.56,717,42.17,14.3,75,17,12,7.13,14.5,2.19
11,20850,D. Knox,71,49,587,9,null,86.05,7.71,548,36.53,11.2,71,19,11,7.88,13.24,2.31
12,20753,N. Fant,90,68,670,4,null,86.5,6.4,576,36,8.5,90,16,5,7.8,18.25,1.77
13,22507,P. Freiermuth,79,60,497,7,null,61.84,5.03,398,24.87,6.6,79,20,6,7.62,12.99,1.92
14,18032,T. Higbee,85,61,560,5,null,91.69,5.42,461,30.73,7.6,85,20,8,7.35,15.65,1.73
15,20805,T. Hockenson,83,61,583,4,null,83.76,7.24,601,50.08,9.9,83,9,3,7.31,20.95,1.75
16,19988,T. Conklin,87,61,593,3,null,81.34,5.9,514,30.23,8.4,87,15,8,7.98,15.56,1.59
17,16964,D. Waller,93,55,665,2,null,80.87,8.95,833,75.72,15.1,93,15,7,7.23,24.15,1.44
18,8534,J. Cook,83,48,564,4,null,56.95,8.19,680,42.5,14.2,83,13,7,7.1,13.28,1.6
19,16917,C. Uzomah,63,49,493,5,null,78.75,4.14,261,16.31,5.3,63,6,2,8.29,12.32,2.04
20,21772,C. Kmet,93,60,612,0,null,83.67,7.92,737,43.35,12.3,93,12,5,6.85,17.74,1.3
21,18935,G. Everett,63,48,478,4,null,73.24,5.42,342,22.8,7.1,63,7,4,7.46,15.03,1.87
22,18876,D. Njoku,53,36,475,4,null,63.44,7.16,380,23.75,10.6,53,9,7,7.4,11.44,2.03
23,18912,E. Engram,73,46,408,3,null,74.05,5.6,409,27.26,8.9,73,5,3,6.84,14.83,1.4
24,17963,A. Hooper,62,38,345,3,null,68.1,4.82,299,18.68,7.9,62,12,4,6.33,13.39,1.49
25,19296,A. Firkser,43,34,291,2,null,36.98,5.62,242,16.13,7.1,43,6,3,8.31,9.45,1.84
26,21794,A. Okwuegbunam,40,33,330,2,null,45.87,5.52,221,15.78,6.7,40,5,0,8.31,9.92,1.9
27,19659,D. Arnold,51,35,408,0,null,51.28,6.37,325,29.54,9.3,51,4,1,7.05,13.6,1.49
28,19943,D. Smythe,41,34,357,0,null,62.35,6.21,255,15,7.5,41,6,1,7.86,6.85,1.71
