Rank,PlayerPlayerId,PlayerShortName,Targets,Receptions,ReceivingYards,ReceivingTDs,HogRate,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
16,17986,T. Boyd,108,76,1028,7,null,89.2,9.87,1066,76.1,14,108,10,4,7.04,22.1,2.05
17,16830,T. Lockett,71,57,965,10,null,89.6,13.83,982,61.4,17.2,71,6,7,7.82,17.7,3.1
18,16765,A. Cooper,108,75,1005,7,null,84.4,10.29,1111,74.1,14.8,108,13,9,7.22,20,2
19,16020,J. Landry,148,81,976,4,null,92.2,11.17,1653,103.3,20.4,148,19,9,6.22,26.4,1.45
20,8355,J. Edelman,108,74,850,6,null,88.4,8.28,894,74.5,12.1,108,20,4,7.31,25.7,1.92
21,18977,K. Golladay,118,70,1063,5,null,91.6,12.37,1460,97.3,20.9,118,15,12,6.97,22.3,1.76
22,19802,C. Ridley,92,64,821,10,null,65,10.14,933,58.3,14.6,92,9,6,7.34,15.2,2.25
23,11063,E. Sanders,98,71,868,4,null,88.2,9.95,975,81.2,13.7,98,11,4,7.73,24.6,2.02
24,17290,A. Humphries,104,76,816,5,14.1,72.7,6.3,655,40.9,8.6,104,14,3,7.55,16.8,1.81
25,14187,A. Jeffery,92,65,843,6,null,85.8,11.11,1022,78.6,15.7,92,14,9,7.45,19.5,2.01
26,5571,L. Fitzgerald,112,69,734,6,null,97.8,9.5,1064,66.5,15.4,112,14,10,6.47,23.6,1.64
27,18879,C. Davis,112,65,891,4,null,94.5,10.89,1220,76.2,18.8,112,15,9,6.83,26.4,1.64
28,18880,C. Godwin,95,59,842,7,null,67.7,12.34,1172,73.2,19.9,95,16,14,6.76,15.3,1.93
29,11611,G. Tate,113,74,795,4,null,65.7,6.67,754,50.3,10.2,113,12,2,7.59,20.9,1.6
30,17961,S. Shepard,107,66,872,4,null,96.1,11.12,1190,74.4,18,107,19,12,7.08,18.6,1.69
31,13878,M. Sanu Sr.,94,66,838,4,null,81.9,8.57,806,50.4,12.2,94,6,2,7.39,15.6,1.92
32,18914,M. Williams,66,43,664,10,null,63.9,15.38,1015,63.4,23.6,66,14,12,7.5,13,2.7
33,18992,D. Westbrook,101,66,717,5,null,81,8.69,878,54.9,13.3,101,13,6,6.56,19.2,1.72
34,16781,N. Agholor,97,64,736,4,null,93.5,10.27,996,62.2,15.6,97,12,4,7.11,16.4,1.71
35,18926,Z. Jones,102,56,652,7,null,91.8,12.43,1268,79.2,22.6,102,17,10,6.4,21.2,1.6
36,19844,D. Moore,82,55,788,2,null,69.5,9.12,748,46.8,13.6,82,8,4,7.13,15.1,1.91
37,11197,D. Thomas,89,59,677,5,null,83.7,10.9,970,64.7,16.4,89,12,5,7.53,18.4,1.76
38,18187,R. Anderson,93,50,752,6,null,80.1,16.44,1529,109.2,30.6,93,9,11,6.26,20.8,1.68
39,4556,J. Nelson,88,63,739,3,null,90.7,9.78,861,57.4,13.7,88,7,3,7.61,17.5,1.76
40,16263,A. Robinson II,94,55,754,4,null,91.2,12.5,1175,90.4,21.4,94,12,9,7.13,21.9,1.63
41,16129,T. Gabriel,93,67,688,2,null,79.9,11.54,1073.5,67.1,16,93,8,5,7.26,18.5,1.63
42,3943,D. Jackson,75,41,774,4,null,54.5,18.87,1415,117.9,34.5,75,5,6,6.4,15.2,2.02
43,14141,C. Beasley,86,65,672,3,null,69.8,7.59,653,40.8,10,86,10,5,7.44,16.6,1.75
44,12845,A. Green,77,46,694,6,null,82.7,13.57,1045,116.1,22.7,77,14,13,7.05,23.5,1.94
45,16640,J. Brown,97,42,715,5,null,65.9,17.1,1659,103.7,39.5,97,15,13,6.29,18,1.48
46,13460,D. Baldwin,73,50,618,5,null,86.9,12.73,929,71.5,18.6,73,13,12,7.12,22.4,1.94
47,14587,J. Gordon,71,41,737,4,null,76.2,15.54,1103,91.9,26.9,71,8,7,6.69,16.2,1.95
48,15196,K. Stills,64,37,553,7,null,91,17.02,1089,72.6,29.4,64,4,7,6.48,15.9,2.16
49,17048,T. Williams,64,41,653,5,null,83.4,12.48,799,53.3,19.5,64,7,8,7.3,13.4,2.15
50,18928,C. Samuel,65,39,494,5,14.4,56.7,12.37,804,61.8,20.6,65,9,6,6.46,14.4,2.1
51,19800,C. Sutton,84,42,704,4,null,79.5,14.63,1229,76.8,29.3,84,8,11,6.7,14.9,1.62
52,18882,C. Kupp,56,40,566,6,null,83.8,9.39,526,65.8,13.2,56,12,5,7.68,20.8,2.41
53,16141,W. Snead IV,95,62,651,1,null,70,8.52,809,57.8,13,95,7,1,7.34,19.3,1.41
54,16232,D. Moncrief,90,48,668,3,null,82.1,13.2,1188,74.2,24.8,90,7,8,6.69,17.1,1.48
55,9331,M. Crabtree,100,54,607,3,null,68.5,11.28,1128,70.5,20.9,100,11,5,7.2,18.6,1.33
56,19917,A. Callaway,81,43,586,5,null,73.8,14.68,1189,74.3,27.7,81,8,12,6.64,14.4,1.61
57,9906,D. Amendola,79,59,575,1,null,83.7,7.8,616,41.1,10.4,79,2,1,7.41,19.2,1.61
58,19815,C. Kirk,68,43,590,3,null,85.9,10.41,708,59,16.5,68,5,3,7.17,20.4,1.82
59,16802,D. Funchess,79,44,549,4,null,71.9,12.7,1003,71.6,22.8,79,12,6,6.46,16.3,1.56
60,19864,A. Miller,54,33,423,7,null,59.4,12.11,654,43.6,19.8,54,11,8,7.18,11.3,2.23
61,18089,R. Higgins,54,39,572,4,null,56.5,11.28,609,46.8,15.6,54,4,4,7.31,12,2.19
62,13870,M. Jones Jr.,62,35,508,5,null,92.9,14.52,900,100,25.7,62,11,13,6.73,18.7,1.87
63,16003,S. Watkins,55,40,519,3,null,71.7,8.09,445,44.5,11.1,55,10,2,7.27,15.7,2.09
64,19318,K. Bourne,66,42,487,4,null,59.4,9.14,603,37.7,14.4,66,12,4,6.7,12.9,1.74
65,18361,C. Rogers,72,53,485,2,null,54.6,7.06,508,31.8,9.6,72,7,5,7.64,11.4,1.57
66,19976,M. Valdes-Scantling,72,38,581,2,null,67,12.33,888,55.5,23.4,72,8,4,6.53,11.7,1.54
67,17939,J. Doctson,79,44,532,2,null,91.8,14.7,1161,77.4,26.4,79,9,6,6.23,17.4,1.38
68,16326,S. Roberts,65,45,494,2,null,61.4,9.2,598,39.9,13.3,65,3,3,7.15,13.2,1.64
69,17916,W. Fuller V,45,32,503,4,null,80.5,15.13,681,97.3,21.3,45,5,3,7.11,20.2,2.36
70,14828,C. Hogan,53,35,532,3,null,73.4,12.02,637,42.5,18.2,53,7,3,6.79,10,2
71,19867,M. Gallup,68,33,507,2,null,71,14.72,1001,66.7,30.3,68,8,6,6.76,14.2,1.41
72,14465,J. Wright,60,43,447,1,null,51.4,6.5,390,24.4,9.1,60,5,3,6.79,11,1.59
73,16837,C. Conley,52,32,334,5,null,76.7,9.42,490,30.6,15.3,52,10,6,6.97,9.2,1.76
74,19514,K. Cole,70,38,491,1,null,77.1,10.41,729,52.1,19.2,70,7,4,6.39,14.9,1.27
75,18971,T. Taylor,56,37,466,1,null,55.2,13.61,762,58.6,20.6,56,6,6,7.19,16,1.56
76,16063,Q. Enunwa,69,38,449,1,null,79.4,7.06,487,44.3,12.8,69,9,3,6.34,20.2,1.26
77,13227,R. Cobb,61,38,383,2,null,82.4,8,488,54.2,12.8,61,4,3,6.93,17.6,1.41
78,16790,P. Dorsett II,42,32,290,3,null,48.7,11.9,500,45.5,15.6,42,8,4,7.02,11.3,1.95
79,14749,J. Kearse,76,37,371,1,null,73.8,9.55,726,55.8,19.6,76,9,5,6.61,17.8,1.05
80,16411,R. Grant,51,35,334,1,null,59.4,7.57,386,27.6,11,51,6,2,7.45,8.8,1.46
81,17914,L. Treadwell,53,35,302,1,null,56.8,5.77,306,20.4,8.7,53,4,1,7.55,9.4,1.34
82,19008,R. Switzer,44,36,253,1,null,27.6,3.43,151,9.4,4.2,44,7,1,8.24,6.5,1.58
83,16664,B. Ellington,42,31,224,1,null,61.8,5.17,217,31,7,42,4,0,8.21,18.3,1.42
