Rank,PlayerPlayerId,PlayerShortName,Targets,Receptions,ReceivingYards,ReceivingTDs,HogRate,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
1,14986,D. Hopkins,163,115,1572,11,null,100,12.32,2008,125.5,17.5,163,25,20,6.75,32.9,2.05
2,18082,T. Hill,137,87,1479,12,null,89.2,15.26,2091,130.7,24,137,16,11,7.14,24.3,2.39
3,16470,D. Adams,169,111,1386,13,null,98.6,11.72,1980,132,17.8,169,31,14,6.88,29.1,1.94
4,13291,J. Jones,170,113,1677,8,21.2,82.7,14.22,2417,151.1,21.4,170,17,10,7.22,28.1,1.92
5,11056,A. Brown,169,104,1297,15,null,97.2,11.86,2005,133.7,19.3,169,24,20,7.31,26.7,1.92
6,17960,M. Thomas,147,125,1405,9,null,90.7,7.99,1175,73.4,9.4,147,29,6,8.2,28.8,2.15
7,15534,A. Thielen,155,113,1373,9,null,100,10.02,1553,97.1,13.7,155,20,11,7.73,26.2,1.97
8,18883,J. Smith-Schuster,166,111,1426,7,null,88.4,9.26,1537,96.1,13.8,166,29,9,7.36,24.5,1.78
9,16597,M. Evans,139,86,1524,8,null,90.9,15.94,2216,138.5,25.8,139,14,16,6.73,22.4,2.09
10,14871,R. Woods,131,86,1219,6,null,96.3,11.6,1520,95,17.7,131,12,9,7.27,24,2.03
11,16906,S. Diggs,148,102,1021,9,null,94.3,9.28,1373,91.5,13.5,148,18,12,7.13,26,1.79
12,15076,K. Allen,137,97,1196,6,null,87.9,9.14,1252,83.5,12.9,137,15,7,7.76,29.2,1.88
13,16568,B. Cooks,116,80,1204,5,null,95.8,13,1508,100.5,18.8,116,17,6,7.61,22.6,2.1
14,14005,T. Hilton,120,76,1270,6,null,79.8,11.51,1381,98.6,18.2,120,17,5,7.42,22.6,1.99
15,16389,O. Beckham Jr.,124,77,1052,6,null,100,12.17,1509,125.8,19.6,124,20,18,6.47,28.5,1.86
