Rank,PlayerID,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
96,20332,Deon Yelder,KC,TE,14,11,7,63.6,36,0,12,3.3,5.1,0,0,0,0,0,0,0.3,3.6
96,22119,Charlie Woerner,SF,TE,14,4,3,75,36,0,18,9,12,0,0,0,0,0,0,0.3,3.6
98,20974,Kahale Warring,HOU,TE,7,7,3,42.9,35,0,23,5,11.7,0,0,0,0,0,0,0.5,3.5
99,21278,Stephen Carlson,CLE,TE,16,2,1,50,11,0,11,5.5,11,0,0,0,0,0,0,0.2,3.1
99,17219,Daniel Brown,NYJ,TE,16,2,2,100,31,0,18,15.5,15.5,0,0,0,0,0,0,0.2,3.1
101,22284,Ben Ellefson,JAX,TE,7,4,1,25,10,0,10,2.5,10,0,0,0,0,0,0,0.4,3
102,20662,Jaeden Graham,ATL,TE,16,5,3,60,25,0,11,5,8.3,0,0,0,0,0,0,0.2,2.5
103,22151,Tommy Stevens,CAR,TE,1,0,0,0,0,0,0,0,0,4,24,6,0,0,0,2.4,2.4
104,21808,Dalton Keene,NE,TE,6,5,3,60,16,0,8,3.2,5.3,0,0,0,0,1,0,0.3,1.6
104,19035,Eric Saubert,JAX,TE,8,4,3,75,16,0,9,4,5.3,0,0,0,0,0,0,0.2,1.6
104,21807,Colby Parkinson,SEA,TE,6,2,2,100,16,0,10,8,8,0,0,0,0,0,0,0.3,1.6
107,15640,Derek Carrier,LV,TE,16,1,1,100,14,0,14,14,14,0,0,0,0,0,0,0.1,1.4
108,15263,Luke Willson,BAL,TE,8,3,1,33.3,12,0,12,4,12,0,0,0,0,0,0,0.2,1.2
108,21798,Josiah Deguara,GB,TE,2,2,1,50,12,0,12,6,12,0,0,0,0,0,0,0.6,1.2
108,19457,Blake Jarwin,DAL,TE,1,1,1,100,12,0,12,12,12,0,0,0,0,0,0,1.2,1.2
111,18094,Temarrick Hemingway,WAS,TE,8,2,1,50,10,0,10,5,10,0,0,0,0,0,0,0.1,1
112,19067,Jeremy Sprinkle,WAS,TE,16,3,1,33.3,6,0,6,2,6,0,0,0,0,0,0,0,0.6
112,21161,Brandon Dillon,MIN,TE,3,1,1,100,6,0,6,6,6,0,0,0,0,0,0,0.2,0.6
114,20977,Trevon Wesco,NYJ,TE,12,2,1,50,5,0,5,2.5,5,1,0,0,0,0,0,0,0.5
114,18997,Jake Butt,DEN,TE,5,4,2,50,5,0,5,1.2,2.5,0,0,0,0,0,0,0.1,0.5
116,20893,Isaac Nauta,DET,TE,7,2,1,50,3,0,3,1.5,3,0,0,0,0,0,0,0,0.3
117,20174,Marcus Baugh,WAS,TE,8,1,1,100,2,0,2,2,2,0,0,0,0,0,0,0,0.2
118,19410,Ricky Seals-Jones,KC,TE,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,21796,Noah Togiai,IND,TE,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,22138,Tyler Davis,JAX,TE,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,18498,J.P. Holtz,CHI,TE,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,19335,Antony Auclair,TB,TE,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,21781,Sean McKeon,DAL,TE,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,21678,Brycen Hopkins,LAR,TE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,20770,Zach Gentry,PIT,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,17223,Eric Tomlinson,BAL,TE,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,21227,Andrew Beck,DEN,TE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,22458,Farrod Green,IND,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,19075,Mason Schreck,CIN,TE,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,18716,Garrett Griffin,NO,TE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,20797,Daniel Helm,SF,TE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,19494,Evan Baylis,ARI,TE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,22436,Rashod Berry,NE,TE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,21409,Nate Becker,BUF,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,21865,Stephen Sullivan,SEA,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,17750,Ross Travis,NYJ,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,20993,Caleb Wilson,PHI,TE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,21531,Chris Myarick,MIA,TE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,19559,Sean Culkin,BAL,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,20134,Kevin Rader,PIT,TE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,18057,Seth DeValve,ARI,TE,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,21344,Hale Hentges,MIN,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,15974,Jordan Matthews,SF,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,21158,Matt Sokol,LAC,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
