Rank,PlayerID,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
96,19626,Dare Ogunbowale,JAX,RB,14,32,145,4.5,0,20,10,54,0,0,0,1.4,19.9
97,21788,Ke'Shawn Vaughn,TB,RB,10,26,109,4.2,0,10,5,34,1,1,1,1.8,18.3
98,21593,D'Ernest Johnson,CLE,RB,16,33,166,5,0,4,3,14,0,1,0,1.1,18
99,18652,C.J. Ham,MIN,FB,15,5,18,3.6,0,13,8,97,1,0,0,1.2,17.5
100,20819,Alec Ingold,LV,FB,16,3,4,1.3,0,17,12,110,1,0,0,1.1,17.4
101,20990,Trayveon Williams,CIN,RB,10,26,157,6,0,5,5,30,0,1,1,1.7,16.7
101,21854,Anthony McFarland Jr.,PIT,RB,11,33,113,3.4,0,10,6,54,0,0,0,1.5,16.7
103,19548,Corey Clement,PHI,RB,15,21,75,3.6,1,6,5,25,0,0,0,1.1,16
103,18957,D'Onta Foreman,TEN,RB,6,22,95,4.3,0,1,1,5,1,0,0,2.7,16
105,21962,Malcolm Perry,MIA,RB,9,3,5,1.7,0,13,9,92,1,1,0,1.7,15.7
106,16797,T.J. Yeldon,BUF,RB,3,10,70,7,0,4,1,22,1,1,0,5.1,15.2
106,22310,Gabe Nabers,LAC,FB,16,2,7,3.5,0,7,5,25,2,0,0,1,15.2
108,18041,Tyler Ervin,GB,RB,8,13,67,5.2,0,15,11,84,0,0,0,1.9,15.1
109,20103,Reggie Bonnafon,CAR,RB,2,12,69,5.8,0,2,2,18,1,0,0,7.4,14.7
110,21845,Darrynton Evans,TEN,RB,5,14,54,3.9,0,4,2,27,1,0,0,2.8,14.1
111,11932,LeSean McCoy,TB,RB,10,10,31,3.1,0,19,15,101,0,0,0,1.3,13.2
112,20159,Mike Boone,MIN,RB,16,11,59,5.4,1,2,2,10,0,0,0,0.8,12.9
113,20106,Ryan Nall,CHI,RB,16,3,0,0,0,9,8,67,1,0,0,0.8,12.7
114,18061,DeAndre Washington,MIA,RB,4,31,91,2.9,0,10,5,30,0,0,0,3,12.1
115,21211,Patrick Laird,MIA,RB,16,13,72,5.5,0,12,10,68,0,1,1,0.8,12
116,18764,Troymaine Pope,LAC,RB,6,15,76,5.1,0,10,8,42,0,0,0,2,11.8
117,19003,Tarik Cohen,CHI,RB,3,14,74,5.3,0,9,6,41,0,0,0,3.8,11.5
118,21837,J.J. Taylor,NE,RB,6,23,110,4.8,0,2,1,4,0,0,0,1.9,11.4
119,21100,Jakob Johnson,NE,FB,16,0,0,0,0,9,8,35,1,1,0,0.6,9.5
120,19766,Saquon Barkley,NYG,RB,2,19,34,1.8,0,9,6,60,0,0,0,4.7,9.4
120,21848,Artavis Pierce,CHI,RB,5,6,34,5.7,1,0,0,0,0,0,0,1.9,9.4
122,16834,Tevin Coleman,SF,RB,8,28,53,1.9,0,5,4,34,0,0,0,1.1,8.7
123,19209,Patrick Ricard,BAL,FB,15,1,-1,-1,0,12,9,45,1,1,1,0.6,8.4
124,20802,Justice Hill,BAL,RB,12,12,60,5,0,5,5,20,0,0,0,0.7,8
125,17965,C.J. Prosise,HOU,RB,10,10,19,1.9,0,5,5,18,1,1,1,0.8,7.7
126,22206,Reggie Gilliam,BUF,FB,14,0,0,0,0,2,2,16,1,0,0,0.5,7.6
127,19996,Jaylen Samuels,PIT,RB,14,9,28,3.1,0,14,9,46,0,0,0,0.5,7.4
128,13418,Anthony Sherman,KC,FB,13,3,8,2.7,0,2,1,5,1,0,0,0.6,7.3
129,21782,Jonathan Ward,ARI,RB,14,0,0,0,0,1,1,11,1,0,0,0.5,7.1
130,20318,Buddy Howell,HOU,RB,14,16,64,4,0,2,1,3,0,0,0,0.5,6.7
131,16378,Keith Smith,ATL,FB,16,4,7,1.8,0,15,11,59,0,0,0,0.4,6.6
132,20074,Jason Cabinda,DET,FB,16,1,0,0,0,3,2,8,0,0,0,0.4,5.8
133,15126,Theo Riddick,LV,RB,4,6,14,2.3,0,6,5,43,0,0,0,1.4,5.7
134,18998,Marlon Mack,IND,RB,1,4,26,6.5,0,3,3,30,0,0,0,5.6,5.6
135,20566,Dontrell Hilliard,HOU,RB,7,9,48,5.3,0,1,1,2,0,0,0,0.7,5
136,20040,Trenton Cannon,CAR,RB,14,10,33,3.3,0,3,3,16,0,0,0,0.4,4.9
137,16928,Michael Burton,NO,FB,15,7,18,2.6,0,4,4,28,0,0,0,0.3,4.6
138,20904,Devine Ozigbo,JAX,RB,8,1,1,1,0,9,9,42,0,0,0,0.5,4.3
139,21310,Khari Blasingame,TEN,RB,15,0,0,0,0,5,4,39,0,0,0,0.3,3.9
140,18617,Elijhaa Penny,NYG,RB,14,6,15,2.5,0,3,2,20,0,0,0,0.2,3.5
141,19799,Rashaad Penny,SEA,RB,3,11,34,3.1,0,0,0,0,0,0,0,1.1,3.4
142,20012,Bo Scarbrough,SEA,RB,1,6,31,5.2,0,0,0,0,0,0,0,3.1,3.1
143,21514,Austin Walter,SF,RB,4,1,3,3,0,1,1,27,0,0,0,0.8,3
144,19072,Alex Armah,CAR,FB,16,6,9,1.5,0,9,5,18,0,0,0,0.2,2.7
145,21952,Rico Dowdle,DAL,RB,15,7,24,3.4,0,0,0,0,0,0,0,0.2,2.4
146,21764,Jason Huntley,PHI,RB,5,5,19,3.8,0,2,1,0,0,0,0,0.4,1.9
147,18093,Andy Janovich,CLE,FB,14,2,4,2,0,5,2,13,0,0,0,0.1,1.7
148,21856,Scottie Phillips,HOU,RB,8,2,9,4.5,0,1,1,7,0,0,0,0.2,1.6
148,21846,Levante Bellamy,DEN,RB,5,4,11,2.8,0,1,1,5,0,0,0,0.3,1.6
150,18152,Dwayne Washington,NO,RB,11,8,15,1.9,0,0,0,0,0,0,0,0.1,1.5
151,12787,Nick Bellore,SEA,FB,16,1,5,5,0,1,1,9,0,0,0,0.1,1.4
152,21774,Tony Jones Jr.,NO,RB,1,3,13,4.3,0,0,0,0,0,0,0,1.3,1.3
153,21132,Chandler Cox,MIA,FB,8,0,0,0,0,2,2,9,0,0,0,0.1,0.9
153,18253,D.J. Foster,ARI,RB,10,2,2,1,0,1,1,7,0,0,0,0.1,0.9
153,16441,Senorise Perry,TEN,RB,7,2,9,4.5,0,0,0,0,0,0,0,0.1,0.9
156,20984,Dexter Williams,GB,RB,3,2,8,4,0,0,0,0,0,0,0,0.3,0.8
157,21564,Craig Reynolds,JAX,RB,2,1,4,4,0,1,1,3,0,0,0,0.4,0.7
158,21126,Cullen Gillaspia,HOU,FB,7,0,0,0,0,1,1,6,0,0,0,0.1,0.6
158,18073,Jonathan Williams,DET,RB,5,1,5,5,0,4,4,21,0,1,1,0.1,0.6
158,21156,John Lovett,GB,FB,8,3,6,2,0,0,0,0,0,0,0,0.1,0.6
158,13791,Lamar Miller,WAS,RB,1,0,0,0,0,2,2,6,0,0,0,0.6,0.6
162,21549,Tony Brooks-James,ATL,RB,1,3,4,1.3,0,0,0,0,0,0,0,0.4,0.4
163,20900,Qadree Ollison,ATL,RB,3,1,3,3,0,0,0,0,0,0,0,0.1,0.3
164,13446,Bruce Miller,JAX,FB,8,0,0,0,0,2,1,2,0,0,0,0,0.2
165,22441,Nathan Cottrell,JAX,RB,8,0,0,0,0,0,0,0,0,0,0,0,0
165,13063,Taiwan Jones,BUF,RB,13,0,0,0,0,2,0,0,0,0,0,0,0
165,21839,Xavier Jones,LAR,RB,13,0,0,0,0,0,0,0,0,0,0,0,0
165,21855,Raymond Calais,LAR,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
165,18115,Derek Watt,PIT,FB,12,0,0,0,0,0,0,0,0,0,0,0,0
165,21826,Darius Bradwell,LAC,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
165,15185,Kenjon Barner,TB,RB,6,0,0,0,0,1,0,0,0,0,0,0,0
165,19599,Trey Edmunds,PIT,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
165,21177,Jeremy Cox,DEN,RB,7,0,0,0,0,0,0,0,0,0,0,0,0
165,21971,Sewo Olonilua,DAL,FB,2,0,0,0,0,0,0,0,0,0,0,0,0
165,20809,Elijah Holyfield,PHI,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
165,20581,Johnny Stanton,CLE,FB,1,0,0,0,0,0,0,0,0,0,0,0,0
165,18070,Wendell Smallwood,PIT,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
165,21787,Javon Leake,WAS,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
165,21793,Mike Warren II,WAS,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
165,22346,Jake Bargas,MIN,FB,1,0,0,0,0,0,0,0,0,0,0,0,0
181,21842,Adrian Killins,PHI,RB,1,1,-12,-12,0,1,1,2,0,0,0,-1,-1
