Rank,PlayerID,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,17959,Derrick Henry,TEN,RB,16,378,2027,5.4,17,31,19,114,0,3,2,19.6,314.1
2,18878,Alvin Kamara,NO,RB,15,187,932,5,16,107,83,756,5,1,0,19.7,294.8
3,18872,Dalvin Cook,MIN,RB,14,312,1557,5,16,54,44,361,1,5,3,21,293.8
4,21682,Jonathan Taylor,IND,RB,15,232,1169,5,11,39,36,299,1,1,1,14.5,216.8
5,19045,Aaron Jones,GB,RB,14,201,1104,5.5,9,63,47,355,2,2,0,15.1,211.9
6,20882,David Montgomery,CHI,RB,15,247,1070,4.3,8,68,54,438,2,1,1,14.1,210.8
7,21970,James Robinson,JAX,RB,14,240,1070,4.5,7,60,49,344,3,3,1,14.4,201.4
8,20824,Josh Jacobs,LV,RB,15,273,1065,3.9,12,45,33,238,0,2,2,13.2,198.3
9,19798,Nick Chubb,CLE,RB,12,190,1067,5.6,12,18,16,150,0,1,1,16,191.7
10,18944,Kareem Hunt,CLE,RB,16,198,841,4.2,6,51,38,304,5,2,0,11.3,180.5
11,17923,Ezekiel Elliott,DAL,RB,15,244,979,4,6,71,52,338,2,6,5,11.4,171.7
12,18003,Kenyan Drake,ARI,RB,15,239,955,4,10,31,25,137,0,3,1,11.1,167.2
13,16776,Melvin Gordon III,DEN,RB,15,215,986,4.6,9,44,32,158,1,4,4,11.1,166.4
14,21861,Antonio Gibson,WAS,RB,14,170,795,4.7,11,44,36,247,0,2,2,11.9,166.2
15,19861,Ronald Jones II,TB,RB,14,192,978,5.1,7,42,28,165,1,2,2,11.3,158.3
16,19119,Chris Carson,SEA,RB,12,141,681,4.8,5,46,37,287,4,1,0,12.6,150.8
17,21674,J.K. Dobbins,BAL,RB,15,134,805,6,9,24,18,120,0,2,0,10,150.5
18,16887,Mike Davis,CAR,RB,15,165,642,3.9,6,70,59,373,2,1,1,9.8,147.5
19,16847,David Johnson,HOU,RB,12,147,691,4.7,6,46,33,314,2,2,1,12.2,146.5
20,21684,D'Andre Swift,DET,RB,13,114,521,4.6,8,57,46,357,2,3,2,11.1,143.8
21,20933,Miles Sanders,PHI,RB,12,164,867,5.3,6,52,28,197,0,4,2,11.9,142.4
22,21769,Clyde Edwards-Helaire,KC,RB,13,181,803,4.4,4,54,36,297,1,0,0,10.8,140
23,16771,Todd Gurley II,ATL,RB,15,195,678,3.5,9,34,25,164,0,2,0,9.2,138.2
24,19912,Nyheim Hines,IND,RB,16,89,380,4.3,3,76,63,482,4,0,0,8.1,130.2
25,18983,James Conner,PIT,RB,13,169,721,4.3,6,43,35,215,0,2,0,10,129.6
26,20360,Jeff Wilson Jr.,SF,RB,11,126,600,4.8,7,28,13,133,3,2,2,11.8,129.3
27,20768,Myles Gaskin,MIA,RB,10,142,584,4.1,3,47,41,388,2,2,2,12.3,123.2
28,20239,Gus Edwards,BAL,RB,16,144,723,5,6,13,9,129,0,1,1,7.4,119.2
29,18996,Wayne Gallman,NYG,RB,15,147,682,4.6,6,27,21,114,0,1,0,7.7,115.6
30,19919,Chase Edmonds,ARI,RB,16,97,448,4.6,1,67,53,402,4,2,0,7.2,115
31,20798,Darrell Henderson Jr.,LAR,RB,15,138,624,4.5,5,24,16,159,1,0,0,7.6,114.3
32,15071,Latavius Murray,NO,RB,15,146,656,4.5,4,26,23,176,1,1,0,7.5,113.2
33,4807,Adrian Peterson,DET,RB,16,156,604,3.9,7,18,12,101,0,0,0,7,112.5
34,18464,J.D. McKissic,WAS,RB,16,85,365,4.3,1,110,80,589,2,3,1,7,111.4
35,19562,Austin Ekeler,LAC,RB,10,116,530,4.6,1,65,54,403,2,1,0,11.1,111.3
36,14916,Giovani Bernard,CIN,RB,16,124,416,3.4,3,59,47,355,3,1,1,6.9,111.1
37,20941,Devin Singletary,BUF,RB,16,156,687,4.4,2,50,38,269,0,1,1,6.6,105.6
38,18995,Jamaal Williams,GB,RB,14,119,505,4.2,2,35,31,236,1,0,0,6.9,96.1
39,18803,Leonard Fournette,TB,RB,13,97,367,3.8,6,47,36,233,0,0,0,7.4,96
40,16510,Jerick McKinnon,SF,RB,16,81,319,3.9,5,46,33,253,1,0,0,5.8,93.2
41,20912,Tony Pollard,DAL,RB,16,101,435,4.3,4,40,28,192,1,0,0,5.8,92.7
42,21688,Cam Akers,LAR,RB,13,145,625,4.3,2,14,11,123,1,1,1,7,90.8
43,21784,Zack Moss,BUF,RB,13,112,481,4.3,4,18,14,95,1,0,0,6.7,87.6
44,20790,Damien Harris,NE,RB,10,137,691,5,2,7,5,52,0,1,0,8.6,86.3
45,17053,Malcolm Brown,LAR,RB,16,101,419,4.1,5,33,23,162,0,1,1,5.4,86.1
46,5820,Frank Gore,NYJ,RB,15,187,653,3.5,2,19,16,89,0,1,1,5.6,84.2
47,17217,Raheem Mostert,SF,RB,8,104,521,5,2,19,16,156,1,1,1,10.5,83.7
48,14917,Rex Burkhead,NE,RB,10,67,274,4.1,3,33,25,192,3,0,0,8.3,82.6
49,18858,Joe Mixon,CIN,RB,6,119,428,3.6,3,26,21,138,1,1,1,13.1,78.6
50,20868,Alexander Mattison,MIN,RB,13,96,434,4.5,2,15,13,125,1,0,0,5.7,73.9
51,18877,Christian McCaffrey,CAR,RB,3,59,225,3.8,5,19,17,149,1,0,0,24.5,73.4
52,20039,Boston Scott,PHI,RB,16,80,374,4.7,1,36,25,212,1,2,0,4.4,70.6
53,19033,Brian Hill,ATL,RB,16,100,465,4.6,1,30,25,199,0,2,1,4.4,70.4
54,16668,Carlos Hyde,SEA,RB,10,81,356,4.4,4,20,16,93,0,1,0,6.9,68.9
55,17970,Devontae Booker,LV,RB,16,93,423,4.5,3,21,17,84,0,1,0,4.3,68.7
56,19828,Sony Michel,NE,RB,9,79,449,5.7,1,9,7,114,1,0,0,7.6,68.3
57,16056,James White,NE,RB,14,35,121,3.5,2,62,49,375,1,1,0,4.8,67.6
58,20950,Benny Snell Jr.,PIT,RB,16,111,368,3.3,4,14,10,61,0,2,1,4.1,64.9
58,19824,Kalen Ballage,LAC,RB,11,91,303,3.3,3,37,29,166,0,1,0,5.9,64.9
60,14901,Kyle Juszczyk,SF,FB,16,17,64,3.8,2,30,19,202,4,1,0,3.9,62.6
61,20128,Phillip Lindsay,DEN,RB,11,118,502,4.3,1,14,7,28,0,0,0,5.4,59
62,14967,Le'Veon Bell,KC,RB,11,82,328,4,2,20,16,138,0,1,0,5.3,58.6
63,21776,Joshua Kelley,LAC,RB,14,111,354,3.2,2,23,23,148,0,2,2,4.2,58.2
64,21843,Salvon Ahmed,MIA,RB,6,75,319,4.3,3,14,11,61,0,0,0,9.7,58
65,16838,Duke Johnson,HOU,RB,11,77,235,3.1,1,35,28,249,1,3,2,5.1,56.4
66,18993,Samaje Perine,CIN,RB,16,63,301,4.8,3,12,11,66,0,0,0,3.4,54.7
67,19822,Kerryon Johnson,DET,RB,16,52,181,3.5,2,26,19,187,1,1,1,3.3,52.8
68,18375,Peyton Barber,WAS,RB,16,94,258,2.7,4,7,4,12,0,0,0,3.2,51
69,19979,Jordan Wilkins,IND,RB,15,84,308,3.7,1,16,12,105,0,0,0,3.3,49.3
70,20837,Ty Johnson,NYJ,RB,13,54,254,4.7,1,21,16,99,1,0,0,3.6,47.3
71,13337,Mark Ingram II,BAL,RB,11,72,299,4.2,2,8,6,50,0,0,0,4.3,46.9
72,20064,Justin Jackson,LAC,RB,9,59,270,4.6,0,24,19,173,0,0,0,5.1,46.3
73,15150,Cordarrelle Patterson,CHI,RB,16,64,232,3.6,1,25,21,132,0,0,0,2.6,42.4
74,21797,La'Mical Perine,NYJ,RB,10,64,232,3.6,2,15,11,63,0,0,0,4.2,41.5
75,19924,Ito Smith,ATL,RB,14,63,268,4.3,1,26,17,75,0,1,0,2.9,40.3
76,21804,DeeJay Dallas,SEA,RB,12,34,108,3.2,2,20,17,111,1,0,0,3.3,39.9
77,21802,AJ Dillon,GB,RB,11,46,242,5.3,2,2,2,21,0,0,0,3.5,38.3
78,12708,Dion Lewis,NYG,RB,16,29,115,4,2,30,19,127,1,3,2,2.4,38.2
79,14269,Alfred Morris,NYG,RB,9,55,238,4.3,1,4,3,19,1,0,0,4.2,37.7
80,20500,Darrel Williams,KC,RB,13,39,169,4.3,1,26,18,116,0,0,0,2.8,36.5
81,19319,Matt Breida,MIA,RB,12,59,254,4.3,0,10,9,96,0,2,1,2.8,33
82,18690,Jalen Richard,LV,RB,13,22,123,5.6,1,23,19,138,0,1,0,2.5,32.1
83,19065,Jeremy McNichols,TEN,RB,16,47,204,4.3,1,17,12,55,0,0,0,2,31.9
84,20075,Josh Adams,NYJ,RB,8,29,157,5.4,2,8,6,29,0,0,0,3.8,30.6
85,18067,Jordan Howard,PHI,RB,7,35,60,1.7,4,1,1,-3,0,1,0,4.2,29.7
86,16524,Devonta Freeman,NYG,RB,5,54,172,3.2,1,10,7,58,0,0,0,5.8,29
87,21775,Rodney Smith,CAR,RB,7,41,156,3.8,1,11,9,59,0,1,0,3.9,27.5
88,20964,Darwin Thompson,KC,RB,14,27,97,3.6,1,11,7,65,1,2,1,1.9,26.2
89,19823,Royce Freeman,DEN,RB,16,35,170,4.9,0,13,12,81,0,0,0,1.6,25.1
90,21765,JaMycal Hasty,SF,RB,8,39,148,3.8,1,8,7,33,0,1,0,3,24.1
91,20810,Travis Homer,SEA,RB,9,25,88,3.5,0,10,9,90,1,0,0,2.6,23.8
92,15102,Chris Thompson,JAX,RB,8,7,20,2.9,0,23,20,146,1,0,0,2.8,22.6
93,16815,Ameer Abdullah,MIN,RB,16,8,42,5.2,0,9,8,58,2,0,0,1.4,22
94,22205,Antonio Williams,BUF,RB,1,12,63,5.2,2,1,1,20,0,0,0,20.3,20.3
95,18088,Alex Collins,SEA,RB,3,18,77,4.3,2,2,1,4,0,0,0,6.7,20.1
