Rank,PlayerID,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
111,21837,J.J. Taylor,NE,RB,5,19,37,1.9,2,4,4,8,0,1,1,2.9,14.5
112,19209,Patrick Ricard,BAL,FB,13,2,4,2,0,13,8,63,1,0,0,1,12.7
113,18996,Wayne Gallman,MIN,RB,8,28,104,3.7,0,3,1,21,0,0,0,1.6,12.5
114,21776,Joshua Kelley,LAC,RB,10,33,102,3.1,0,6,5,38,0,1,1,1.2,12
115,16928,Michael Burton,KC,FB,16,8,26,3.2,1,3,3,31,0,0,0,0.7,11.7
116,18690,Jalen Richard,LV,RB,10,9,40,4.4,0,14,12,72,0,0,0,1.1,11.2
117,20950,Benny Snell Jr.,PIT,RB,17,36,98,2.7,0,4,2,13,0,0,0,0.7,11.1
118,18998,Marlon Mack,IND,RB,6,28,101,3.6,0,5,2,8,0,0,0,1.8,10.9
119,20074,Jason Cabinda,DET,FB,14,3,23,7.7,0,7,4,16,1,0,0,0.7,9.9
120,20743,Ryquell Armstead,JAX,RB,2,15,80,5.3,0,4,3,16,0,0,0,4.8,9.6
121,22674,Deon Jackson,IND,RB,8,13,31,2.4,1,0,0,0,0,0,0,1.1,9.1
122,18093,Andy Janovich,CLE,FB,13,2,0,0,1,4,3,9,0,0,0,0.7,8.9
122,22650,JaQuan Hardy,DAL,RB,3,4,29,7.2,1,0,0,0,0,0,0,3,8.9
124,16378,Keith Smith,ATL,FB,17,9,31,3.4,0,10,9,56,0,0,0,0.5,8.7
125,19072,Alex Armah,WAS,FB,11,5,21,4.2,0,1,1,1,1,0,0,0.7,8.2
126,20581,Johnny Stanton,CLE,FB,3,3,5,1.7,0,2,2,7,1,0,0,2.4,7.2
127,22676,Kene Nwangwu,MIN,RB,11,13,61,4.7,0,5,4,9,0,0,0,0.6,7
128,21782,Jonathan Ward,ARI,RB,13,9,33,3.7,0,4,3,34,0,0,0,0.5,6.7
129,19924,Ito Smith,DAL,RB,1,1,4,4,1,0,0,0,0,0,0,6.4,6.4
130,20159,Mike Boone,DEN,RB,8,4,35,8.8,0,2,2,22,0,0,0,0.7,5.7
131,20990,Trayveon Williams,CIN,RB,5,15,51,3.4,0,2,1,4,0,0,0,1.1,5.5
132,21764,Jason Huntley,PHI,RB,1,13,51,3.9,0,1,0,0,0,0,0,5.1,5.1
133,21775,Rodney Smith,DET,RB,2,0,0,0,0,5,5,48,0,0,0,2.4,4.8
134,18070,Wendell Smallwood,WAS,RB,3,5,25,5,0,5,4,22,0,0,0,1.6,4.7
135,19824,Kalen Ballage,PIT,RB,17,12,36,3,0,7,2,8,0,0,0,0.3,4.4
136,21100,Jakob Johnson,NE,FB,17,0,0,0,0,5,4,43,0,0,0,0.3,4.3
137,21797,La'Mical Perine,NYJ,RB,4,8,31,3.9,0,0,0,0,0,0,0,0.8,3.1
138,21840,Kylin Hill,GB,RB,8,10,24,2.4,0,2,1,5,0,0,0,0.4,2.9
139,18152,Dwayne Washington,NO,RB,14,4,16,4,0,2,2,12,0,0,0,0.2,2.8
140,22206,Reggie Gilliam,BUF,FB,16,3,3,1,0,5,3,23,0,0,0,0.2,2.6
141,22310,Gabe Nabers,LAC,FB,10,3,8,2.7,0,3,3,17,0,0,0,0.2,2.5
142,19996,Jaylen Samuels,HOU,RB,3,5,9,1.8,0,4,3,14,0,0,0,0.8,2.3
143,21856,Scottie Phillips,HOU,RB,3,6,13,2.2,0,3,2,9,0,0,0,0.7,2.2
144,23004,Adam Prentice,NO,FB,7,3,5,1.7,0,3,3,16,0,0,0,0.3,2.1
144,21211,Patrick Laird,MIA,RB,6,1,4,4,0,3,3,17,0,0,0,0.4,2.1
146,17217,Raheem Mostert,SF,RB,1,2,20,10,0,0,0,0,0,0,0,2,2
146,20018,Nick Bawden,NYJ,FB,9,0,0,0,0,1,1,20,0,0,0,0.2,2
148,21845,Darrynton Evans,TEN,RB,1,2,7,3.5,0,2,2,11,0,0,0,1.8,1.8
149,18115,Derek Watt,PIT,FB,17,1,1,1,0,3,3,15,0,0,0,0.1,1.6
149,20103,Reggie Bonnafon,CAR,RB,4,1,4,4,0,2,2,12,0,0,0,0.4,1.6
151,22537,Trey Ragas,LV,RB,1,1,9,9,0,2,2,6,0,0,0,1.5,1.5
152,21854,Anthony McFarland Jr.,PIT,RB,2,3,3,1,0,1,1,11,0,0,0,0.7,1.4
153,19957,John Kelly,CLE,RB,4,2,13,6.5,0,0,0,0,0,0,0,0.3,1.3
153,21688,Cam Akers,LAR,RB,1,5,3,0.6,0,3,3,10,0,0,0,1.3,1.3
155,20906,Jacques Patrick,SF,RB,1,2,12,6,0,0,0,0,0,0,0,1.2,1.2
156,22677,Mekhi Sargent,JAX,RB,7,5,11,2.2,0,1,0,0,0,0,0,0.2,1.1
156,20318,Buddy Howell,LAR,RB,10,5,11,2.2,0,0,0,0,0,0,0,0.1,1.1
158,22672,Gary Brightwell,NYG,RB,13,1,4,4,0,1,1,6,0,0,0,0.1,1
159,20106,Ryan Nall,CHI,RB,9,1,4,4,0,1,1,4,0,0,0,0.1,0.8
