Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,Carries,RushingYards,YardsPerCarry,RushingTouchdowns,Targets,Receptions,ReceivingYards,ReceivingTDs,SnapShare,OpportunityShare,ShotgunCarryRate,ShotgunYardsPerCarry,UnderCenterCarryRate,UnderCenterYardsPerCarry,AverageDefendersInTheBox,StackedFrontCarryRate,BaseFrontCarryRate,LightFrontCarryRate
108,20598,K. Ford,28.2,21,79,3.8,0,5,3,21,0,50,54.2,9.5,8,90.5,3.3,6.52,23.8,42.9,28.6
109,19915,M. Walton,25.3,14,34,2.4,0,8,5,41,0,16.4,11.3,57.1,2.5,42.9,2.3,6.5,21.4,7.1,71.4
110,19957,J. Kelly,25.8,27,74,2.7,0,3,2,27,0,17.7,24.2,3.7,5,96.3,2.7,7.48,48.1,48.1,3.7
111,16307,C. West,31.1,2,-1,-0.5,0,3,2,37,1,21.2,10,50,-2,50,1,5.5,0,0,100
112,18061,D. Washington,29.4,30,115,3.8,0,1,1,9,0,13.1,13.2,46.7,5.9,53.3,2.1,6.93,23.3,33.3,43.3
113,19032,T. Logan,27.8,2,2,1,0,7,7,37,0,3.8,5.1,50,5,50,-3,6.5,0,50,50
114,18957,D. Foreman,26.2,7,-1,-0.1,0,2,2,28,1,52.5,50,57.1,0.2,42.9,-0.7,6.71,14.3,71.4,14.3
115,14786,P. DiMarco,33.2,1,9,9,0,4,3,62,0,17.1,3.8,100,9,0,null,6,0,0,100
116,14891,T. Bohanon,31.8,1,0,0,0,9,6,41,0,17.3,3.8,0,null,100,0,9,100,0,0
117,20309,D. Newsome,28.3,11,49,4.5,0,2,2,19,0,15.8,13.3,45.5,6.4,54.5,2.8,6.27,0,36.4,63.6
118,15185,K. Barner,33.2,19,71,3.7,0,1,1,3,0,7.4,7.1,15.8,4,84.2,3.7,6.95,15.8,57.9,26.3
119,16534,R. Nix,30.3,1,4,4,0,6,4,38,0,8.7,3.6,100,4,0,null,7,0,100,0
120,18256,B. Marshall,28.4,3,9,3,0,6,4,30,0,14.5,7.1,66.7,2.5,33.3,4,6.33,0,33.3,66.7
121,16111,R. Hewitt,31.4,0,0,null,0,2,1,1,1,20,null,null,null,null,null,null,null,null,null
122,20327,R. Thomas,26.8,8,30,3.8,0,4,2,21,0,8.4,10.1,62.5,5.8,37.5,0.3,6.88,25,37.5,37.5
