,index,rank,playerplayerid,playershortname,receptions,receivingyards,snapshare,averagetargetdistance,airyards,airyardspergame,airyardsperreception,redzonetargets,endzonetargets,targetaccuracy,targetshare,fantasypointspertarget,year,position,name,team,played,receivingtargets,receptionpercentage,receivingtouchdowns,receivinglong,receivingyardspertarget,receivingyardsperreception,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,fumbles,fumbleslost,fantasypointspergame,fantasypoints
109,109,16,18883,J. Smith-Schuster,97,831,81.83,5.74,735.5,45.96,7.6,18,9,385.0,19.63,1.83,2020,WR,JuJu Smith-Schuster,PIT,16,128,75.8,9,31,6.5,8.6,0,0,0.0,0,3,1,8.6,137.1
110,110,20,20873,T. McLaurin,87,1118,93.0,9.83,1318.0,87.86,15.1,13,6,388.0,25.42,1.67,2020,WR,Terry McLaurin,WAS,15,134,64.9,4,68,8.3,12.9,2,30,15.0,0,1,1,9.1,136.8
111,111,32,17916,W. Fuller V,53,879,87.04,13.06,980.0,89.09,18.5,8,6,219.0,21.49,2.52,2020,WR,William Fuller V,HOU,11,75,70.7,8,77,11.7,16.6,1,0,0.0,0,0,0,12.4,135.9
112,112,24,18928,C. Samuel,77,851,68.45,7.15,694.0,46.26,9.0,12,1,303.0,19.71,2.19,2020,WR,Curtis Samuel,CAR,15,97,79.4,3,44,8.8,11.1,41,200,4.9,2,1,0,9.0,135.1
113,113,21,21077,D. Johnson,88,923,70.05,8.17,1177.0,78.46,13.4,11,6,409.0,22.89,1.54,2020,WR,Diontae Johnson,PIT,15,144,61.1,7,47,6.4,10.5,3,15,5.0,0,2,1,8.9,133.8
114,114,19,18187,R. Anderson,95,1096,77.86,9.76,1328.0,83.0,14.0,14,6,443.0,26.25,1.65,2020,WR,Robby Anderson,CAR,16,136,69.9,3,75,8.1,11.5,4,15,3.8,0,1,1,8.1,129.1
115,115,28,21690,T. Higgins,67,908,74.48,11.68,1262.0,78.87,18.8,11,7,341.0,19.08,1.8,2020,WR,Tee Higgins,CIN,16,108,62.0,6,67,8.4,13.6,5,28,5.6,0,1,1,8.0,127.6
116,116,30,18879,C. Davis,65,984,77.35,11.86,1092.0,78.0,16.8,8,8,268.0,23.11,2.08,2020,WR,Corey Davis,TEN,14,92,70.7,5,75,10.7,15.1,0,0,0.0,0,1,1,9.0,126.4
117,117,31,18880,C. Godwin,65,840,84.54,10.3,866.0,72.16,13.3,9,5,263.0,18.87,2.27,2020,WR,Chris Godwin,TB,12,84,77.4,7,47,10.0,12.9,0,0,0.0,0,1,0,10.5,126.0
118,118,27,14141,C. Beasley,82,967,64.66,7.93,849.0,56.6,10.4,9,4,320.0,20.03,1.94,2020,WR,Cole Beasley,BUF,15,107,76.6,4,35,9.0,11.8,0,0,0.0,0,0,0,8.4,125.5
119,119,36,21045,M. Brown,58,769,78.79,12.98,1298.0,81.12,22.4,11,11,270.0,26.31,1.83,2020,WR,Marquise Brown,BAL,16,100,58.0,8,70,7.7,13.3,1,1,1.0,0,0,0,7.8,125.0
120,120,35,21747,B. Aiyuk,60,748,87.0,9.12,876.0,73.0,14.6,14,5,267.0,24.18,1.92,2020,WR,Brandon Aiyuk,SF,12,96,62.5,5,49,7.8,12.5,6,77,12.8,2,0,0,10.4,124.5
121,121,26,18882,C. Kupp,92,974,79.11,6.6,819.0,54.6,8.9,13,3,363.0,23.61,1.68,2020,WR,Cooper Kupp,LAR,15,124,74.2,3,55,7.9,10.6,4,33,8.2,0,1,1,7.8,116.7
122,122,33,16020,J. Landry,72,840,70.42,7.96,804.0,53.6,11.2,17,9,269.0,24.51,1.86,2020,WR,Jarvis Landry,CLE,15,101,71.3,3,32,8.3,11.7,4,10,2.5,1,2,0,7.7,115.96
123,123,38,19867,M. Gallup,59,843,88.33,11.88,1248.0,78.0,21.2,13,10,270.0,17.07,1.65,2020,WR,Michael Gallup,DAL,16,105,56.2,5,55,8.0,14.3,0,0,0.0,0,0,0,7.1,114.3
124,124,29,17986,T. Boyd,79,841,74.5,8.88,977.0,65.13,12.4,14,4,341.0,20.83,1.75,2020,WR,Tyler Boyd,CIN,15,110,71.8,4,72,7.6,10.6,5,49,9.8,0,1,0,7.6,113.64
125,125,39,16866,J. Crowder,59,699,79.75,7.47,658.0,54.83,11.2,10,4,252.0,24.71,1.95,2020,WR,Jamison Crowder,NYJ,12,88,67.0,6,69,7.9,11.8,1,14,14.0,0,0,0,9.4,113.02
126,126,44,19207,T. Patrick,51,742,75.81,12.44,983.0,65.53,19.3,10,3,201.0,15.95,2.04,2020,WR,Tim Patrick,DEN,15,79,64.6,6,61,9.4,14.5,0,0,0.0,0,0,0,7.3,110.2
127,127,37,20006,R. Gage,72,786,66.78,8.61,948.0,59.25,13.2,16,8,323.0,18.64,1.65,2020,WR,Russell Gage,ATL,16,110,65.5,4,35,7.1,10.9,2,9,4.5,0,0,0,6.8,109.06
128,128,42,14005,T. Hilton,56,762,65.72,12.53,1166.0,77.73,20.8,10,7,279.0,18.82,1.77,2020,WR,T.Y. Hilton,IND,15,93,60.2,5,50,8.2,13.6,0,0,0.0,0,0,0,7.2,108.2
129,129,48,18914,M. Williams,48,756,69.79,14.76,1255.0,83.66,26.1,10,11,236.0,14.65,1.81,2020,WR,Mike Williams,LAC,15,85,56.5,5,64,8.9,15.8,1,1,1.0,0,0,0,7.0,105.7
130,130,45,21692,J. Jeudy,52,856,78.5,13.59,1536.0,96.0,29.5,8,8,274.0,21.2,1.39,2020,WR,Jerry Jeudy,DEN,16,113,46.0,3,92,7.6,16.5,0,0,0.0,0,2,0,6.6,105.6
131,131,55,19976,M. Valdes-Scantling,33,690,76.81,17.46,1100.0,68.75,33.3,6,3,181.0,12.6,2.18,2020,WR,Marquez Valdes-Scantling,GB,16,63,52.4,6,78,11.0,20.9,4,13,3.2,0,1,1,6.5,104.3
132,132,41,11063,E. Sanders,61,726,53.07,8.85,726.0,51.85,11.9,14,7,240.0,19.15,2.01,2020,WR,Emmanuel Sanders,NO,14,82,74.4,5,51,8.9,11.9,1,12,12.0,0,1,0,7.4,103.8
133,133,40,16775,D. Parker,63,793,77.45,10.44,1076.0,76.85,17.1,14,14,308.0,21.19,1.61,2020,WR,DeVante Parker,MIA,14,103,61.2,4,31,7.7,12.6,0,0,0.0,0,1,0,7.4,103.3
134,134,57,21735,G. Davis,35,599,71.6,15.43,957.0,59.81,27.3,12,12,169.0,10.85,2.21,2020,WR,Gabriel Davis,BUF,16,62,56.5,7,56,9.7,17.1,1,0,0.0,0,1,0,6.4,101.9
135,135,49,19816,D. Chark Jr.,53,706,83.78,13.97,1300.0,100.0,24.5,12,7,246.0,19.87,1.65,2020,WR,DJ Chark Jr.,JAX,13,93,57.0,5,73,7.6,13.3,0,0,0.0,0,0,0,7.7,100.6
136,136,46,21697,L. Shenault Jr.,58,600,62.15,6.55,518.0,37.0,8.9,11,5,227.0,15.31,1.99,2020,WR,Laviska Shenault Jr.,JAX,14,79,73.4,5,36,7.6,10.3,18,91,5.1,0,0,0,7.1,99.1
137,137,51,19815,C. Kirk,48,621,76.56,12.0,948.0,67.71,19.8,14,7,215.0,16.32,1.85,2020,WR,Christian Kirk,ARI,14,79,60.8,6,80,7.9,12.9,2,3,1.5,0,1,0,7.0,98.4
138,138,43,17961,S. Shepard,66,656,71.68,8.45,761.0,63.41,11.5,11,4,255.0,23.31,1.81,2020,WR,Sterling Shepard,NYG,12,90,73.3,3,29,7.3,9.9,6,49,8.2,1,0,0,8.0,96.5
139,139,52,13291,J. Jones,51,771,72.92,11.27,767.0,85.22,15.0,11,6,197.0,20.35,2.15,2020,WR,Julio Jones,ATL,9,68,75.0,3,44,11.3,15.1,0,0,0.0,0,0,0,10.6,95.1
140,140,47,19514,K. Cole,55,642,74.85,10.84,954.0,59.62,17.3,10,5,245.0,15.09,1.77,2020,WR,Keelan Cole,JAX,16,88,62.5,5,51,7.3,11.7,1,2,2.0,0,0,0,5.9,94.4
141,141,56,19172,Z. Pascal,44,629,73.69,10.94,777.0,48.56,17.7,14,6,214.0,13.29,1.93,2020,WR,Zach Pascal,IND,16,71,62.0,5,42,8.9,14.3,0,0,0.0,0,0,0,5.8,92.9
142,142,50,21961,D. Mooney,61,631,73.02,11.8,1157.0,72.31,19.0,9,8,278.0,16.47,1.55,2020,WR,Darnell Mooney,CHI,16,98,62.2,4,53,6.4,10.3,4,20,5.0,0,1,0,5.7,91.1
143,143,54,20943,D. Slayton,50,751,87.21,13.73,1332.0,83.25,26.6,8,7,253.0,19.4,1.45,2020,WR,Darius Slayton,NYG,16,97,51.5,3,41,7.7,15.0,2,-1,-0.5,0,1,1,5.7,91.0
144,144,63,18089,R. Higgins,37,599,60.12,14.03,730.0,56.15,19.7,8,6,138.0,14.24,2.32,2020,WR,Rashard Higgins,CLE,13,52,71.2,4,43,11.5,16.2,0,0,0.0,0,3,0,6.5,83.9
145,145,64,19120,D. Moore,35,417,46.03,9.02,424.0,26.5,12.1,13,7,148.0,8.76,2.53,2020,WR,David Moore,SEA,16,47,74.5,6,57,8.9,11.9,8,61,7.6,0,1,0,5.2,83.8
146,146,53,20876,J. Meyers,59,729,75.88,10.61,860.0,61.42,14.6,5,3,223.0,23.2,1.76,2020,WR,Jakobi Meyers,NE,14,81,72.8,0,35,9.0,12.4,2,9,4.5,0,1,1,6.0,83.52
147,147,61,20788,M. Hardman,41,560,43.57,10.29,638.0,39.87,15.6,4,4,187.0,10.19,2.07,2020,WR,Mecole Hardman,KC,16,62,66.1,4,49,9.0,13.7,4,31,7.8,0,2,2,5.1,81.1
148,148,60,19318,K. Bourne,49,667,65.63,9.32,690.0,46.0,14.1,11,3,228.0,15.04,1.75,2020,WR,Kendrick Bourne,SF,15,74,66.2,2,49,9.0,13.6,0,0,0.0,0,0,0,5.4,80.7
149,149,58,19705,G. Ward,53,419,68.36,5.86,463.0,28.93,8.7,8,4,227.0,14.08,1.68,2020,WR,Greg Ward,PHI,16,79,67.1,6,32,5.3,7.9,2,-4,-2.0,0,2,0,5.0,80.1
150,150,66,20762,T. Fulgham,38,539,60.09,12.76,855.0,65.76,22.5,10,9,182.0,15.43,1.73,2020,WR,Travis Fulgham,PHI,13,67,56.7,4,42,8.0,14.2,0,0,0.0,0,0,0,6.0,77.9
151,151,59,20924,H. Renfrow,56,656,49.7,7.16,552.0,34.5,9.9,8,2,231.0,15.21,1.71,2020,WR,Hunter Renfrow,LV,16,77,72.7,2,53,8.5,11.7,0,0,0.0,0,2,1,4.7,75.6
152,152,62,19017,J. Reynolds,52,618,70.59,10.07,816.0,51.0,15.7,5,4,236.0,14.41,1.53,2020,WR,Josh Reynolds,LAR,16,81,64.2,2,40,7.6,11.9,1,5,5.0,0,2,1,4.5,72.3
153,153,65,11056,A. Brown,45,483,61.46,8.7,531.0,66.37,11.8,6,3,180.0,19.86,1.92,2020,WR,Antonio Brown,TB,8,61,73.8,4,46,7.9,10.7,2,-2,-1.0,0,0,0,9.0,72.1
154,154,73,21138,S. Miller,33,501,41.35,16.11,854.0,53.37,25.9,4,5,153.0,8.74,1.93,2020,WR,Scotty Miller,TB,16,53,62.3,3,48,9.5,15.2,3,14,4.7,0,0,0,4.3,69.5
155,155,72,19897,T. Smith,34,448,66.08,8.92,446.0,31.85,13.1,8,4,143.0,11.13,2.06,2020,WR,Tre'Quan Smith,NO,14,50,68.0,4,31,9.0,13.2,1,3,3.0,0,1,0,4.9,69.1
156,156,67,17141,D. Byrd,47,604,90.15,10.81,833.0,52.06,17.7,2,1,214.0,18.73,1.49,2020,WR,Damiere Byrd,NE,16,77,61.0,1,42,7.8,12.9,2,15,7.5,0,3,0,4.2,67.9
157,157,77,20145,A. Lazard,33,451,72.41,9.5,437.0,43.7,13.2,6,4,151.0,15.28,2.13,2020,WR,Allen Lazard,GB,10,46,71.7,3,72,9.8,13.7,2,17,8.5,0,0,0,6.5,64.8
158,158,68,12845,A. Green,47,523,79.94,13.23,1376.0,86.0,29.3,9,10,275.0,18.37,1.07,2020,WR,A.J. Green,CIN,16,104,45.2,2,33,5.0,11.1,0,0,0.0,0,0,0,4.0,64.3
159,159,80,16640,J. Brown,33,458,76.07,12.92,672.0,74.66,20.4,8,3,150.0,16.93,1.86,2020,WR,John Brown,BUF,9,52,63.5,3,46,8.8,13.9,0,0,0.0,0,0,0,7.1,63.8
160,160,70,18047,D. Robinson,45,466,65.59,8.67,512.0,32.0,11.4,6,6,178.0,9.7,1.82,2020,WR,Demarcus Robinson,KC,16,59,76.3,3,28,7.9,10.4,0,0,0.0,0,2,1,3.9,62.6
161,161,75,13227,R. Cobb,38,441,61.34,6.7,322.0,32.2,8.5,7,5,145.0,14.72,2.09,2020,WR,Randall Cobb,HOU,10,48,79.2,3,34,9.2,11.6,0,0,0.0,0,0,0,6.2,62.1
162,162,81,16141,W. Snead IV,33,432,61.78,8.91,428.0,32.92,13.0,8,2,142.0,14.63,1.96,2020,WR,Willie Snead IV,BAL,13,48,68.8,3,34,9.0,13.1,0,0,0.0,0,1,0,4.7,61.2
163,163,71,9906,D. Amendola,46,602,50.81,8.31,574.0,41.0,12.5,6,2,198.0,14.19,1.54,2020,WR,Danny Amendola,DET,14,69,66.7,0,50,8.7,13.1,1,2,2.0,0,0,0,4.3,60.4
164,164,78,20038,B. Berrios,37,394,28.93,7.43,409.0,25.56,11.1,5,1,158.0,11.85,1.77,2020,WR,Braxton Berrios,NYJ,16,55,67.3,3,43,7.2,10.6,3,29,9.7,0,0,0,3.8,60.3
165,165,69,19864,A. Miller,49,485,53.94,8.88,675.0,42.18,13.8,9,8,211.0,12.77,1.43,2020,WR,Anthony Miller,CHI,16,76,64.5,2,34,6.4,9.9,2,12,6.0,0,2,1,3.7,59.7
166,166,76,21744,M. Pittman Jr.,40,503,75.91,8.49,518.0,39.84,13.0,9,0,174.0,14.12,1.62,2020,WR,Michael Pittman Jr.,IND,13,61,65.6,1,45,8.2,12.6,3,26,8.7,0,0,0,4.5,58.9
167,167,79,16837,C. Conley,40,471,45.46,10.66,672.0,44.8,16.8,6,6,178.0,11.45,1.54,2020,WR,Chris Conley,JAX,15,63,63.5,2,51,7.5,11.8,0,0,0.0,0,1,1,3.8,57.1
168,168,87,20529,C. Sims,32,477,57.53,10.24,502.0,31.37,15.7,3,2,136.0,8.53,1.76,2020,WR,Cam Sims,WAS,16,49,65.3,1,50,9.7,14.9,1,5,5.0,0,0,0,3.4,54.2
169,169,85,19937,K. Coutee,33,400,58.82,9.82,393.0,49.12,11.9,11,5,124.0,14.86,2.18,2020,WR,Keke Coutee,HOU,8,40,82.5,3,64,10.0,12.1,0,0,0.0,0,4,3,6.8,54.0
170,170,86,11611,G. Tate,35,388,56.78,9.13,475.0,39.58,13.6,5,3,166.0,14.36,1.66,2020,WR,Golden Tate,NYG,12,52,67.3,2,39,7.5,11.1,0,0,0.0,0,0,0,4.3,51.52
171,171,82,16003,S. Watkins,37,421,74.23,8.07,444.0,44.4,12.0,8,3,157.0,14.03,1.61,2020,WR,Sammy Watkins,KC,10,55,67.3,2,37,7.7,11.4,1,3,3.0,0,1,1,5.0,50.4
172,172,84,21686,J. Reagor,31,396,68.55,13.4,724.0,65.81,23.4,8,6,142.0,14.4,1.61,2020,WR,Jalen Reagor,PHI,11,54,57.4,1,55,7.3,12.8,4,26,6.5,0,2,0,4.6,50.2
173,173,89,20932,D. Samuel,33,391,60.8,2.63,116.0,16.57,3.5,2,0,133.0,18.56,1.83,2020,WR,Deebo Samuel,SF,7,44,75.0,1,35,8.9,11.8,8,26,3.2,0,0,0,6.8,47.7
174,174,74,5571,L. Fitzgerald,54,409,77.32,6.18,445.0,34.23,8.2,7,3,227.0,16.1,1.4,2020,WR,Larry Fitzgerald,ARI,13,72,75.0,1,18,5.7,7.6,0,0,0.0,0,0,0,3.6,46.9
175,175,83,18103,J. Grant Sr.,36,373,42.75,10.29,556.0,39.71,15.4,4,1,165.0,11.71,1.62,2020,WR,Jakeem Grant Sr.,MIA,14,54,66.7,1,30,6.9,10.4,3,20,6.7,0,2,0,3.2,45.3
176,176,88,17960,M. Thomas,40,438,69.64,9.5,523.0,74.71,13.1,11,0,160.0,27.91,1.53,2020,WR,Michael Thomas,NO,7,55,72.7,0,24,8.0,11.0,1,1,1.0,0,0,0,6.3,43.9
177,177,90,20792,N. Harry,33,309,68.57,8.35,476.0,34.0,14.4,10,4,142.0,16.01,1.3,2020,WR,N'Keal Harry,NE,14,57,57.9,2,30,5.4,9.4,2,0,0.0,0,1,1,2.9,40.9
178,178,1,17960,M. Thomas,149,1725,90.7,8.27,1539.0,96.2,10.3,26,5,8.02,33.2,2.01,2019,WR,Michael Thomas,NO,16,185,80.5,9,49,9.3,11.6,1,-9,-9.0,0,1,0,14.1,225.6
179,179,3,18880,C. Godwin,86,1333,95.7,10.67,1270.0,90.7,14.8,13,9,7.21,22.2,2.3,2019,WR,Chris Godwin,TB,14,120,71.7,9,71,11.1,15.5,1,8,8.0,0,0,0,13.6,190.1
180,180,9,18977,K. Golladay,65,1190,91.7,15.74,1826.0,114.1,28.1,16,14,6.83,21.1,2.14,2019,WR,Kenny Golladay,DET,16,116,56.0,11,75,10.3,18.3,0,0,0.0,0,1,1,11.4,183.0
181,181,4,18882,C. Kupp,94,1162,80.5,7.54,1010.0,63.1,10.7,21,6,7.44,21.8,2.02,2019,WR,Cooper Kupp,LAR,16,134,70.1,10,66,8.7,12.4,2,4,2.0,0,3,0,11.0,176.5
182,182,2,13291,J. Jones,99,1394,79.1,12.58,1962.0,130.8,19.8,16,8,7.45,25.7,1.76,2019,WR,Julio Jones,ATL,15,157,63.1,6,54,8.9,14.1,2,-3,-1.5,0,1,0,11.7,175.1
183,183,11,16775,D. Parker,72,1202,88.3,13.84,1772.0,110.8,24.6,16,9,6.82,21.1,1.92,2019,WR,DeVante Parker,MIA,16,128,56.2,9,51,9.4,16.7,0,0,0.0,0,0,0,10.9,174.2
184,184,10,16765,A. Cooper,79,1189,77.7,12.79,1522.0,95.1,19.3,9,9,7.5,20.7,2.07,2019,WR,Amari Cooper,DAL,16,119,66.4,8,53,10.0,15.1,1,6,6.0,0,0,0,10.5,167.5
185,185,15,16597,M. Evans,67,1157,89.6,15.89,1875.0,144.2,28.0,18,15,6.33,23.8,1.96,2019,WR,Mike Evans,TB,13,118,56.8,8,67,9.8,17.3,0,0,0.0,0,0,0,12.7,165.7
186,186,21,21042,A. Brown,52,1051,72.3,13.57,1140.0,71.2,21.9,8,6,7.02,19.5,2.58,2019,WR,A.J. Brown,TEN,16,84,61.9,8,91,12.5,20.2,3,60,20.0,1,1,0,10.3,165.1
187,187,5,14986,D. Hopkins,104,1165,100.0,10.63,1595.0,106.3,15.3,13,10,7.13,30.9,1.78,2019,WR,DeAndre Hopkins,HOU,15,150,69.3,7,43,7.8,11.2,2,18,9.0,0,0,0,11.0,164.54
188,188,6,15076,K. Allen,104,1199,91.2,10.24,1536.0,96.0,14.8,20,11,7.33,26.0,1.74,2019,WR,Keenan Allen,LAC,16,149,69.8,6,45,8.0,11.5,3,16,5.3,0,0,0,9.8,157.5
189,189,7,16263,A. Robinson II,98,1147,97.0,11.49,1758.0,109.9,17.9,20,9,6.83,27.0,1.67,2019,WR,Allen Robinson II,CHI,16,154,63.6,7,49,7.4,11.7,1,2,2.0,0,0,0,9.8,156.9
190,190,8,8355,J. Edelman,100,1117,88.5,9.5,1463.0,91.4,14.6,22,3,7.06,26.2,1.64,2019,WR,Julian Edelman,NE,16,153,65.4,6,44,7.3,11.2,8,27,3.4,0,3,1,9.8,156.28
191,191,12,16020,J. Landry,83,1174,95.4,10.05,1387.0,86.7,16.7,21,9,6.68,26.6,1.72,2019,WR,Jarvis Landry,CLE,16,138,60.1,6,65,8.5,14.1,1,10,10.0,0,0,0,9.6,154.4
192,192,13,16830,T. Lockett,82,1057,92.7,13.45,1479.0,92.4,18.0,23,13,7.23,22.3,2.14,2019,WR,Tyler Lockett,SEA,16,110,74.5,8,44,9.6,12.9,4,-5,-1.2,0,1,0,9.6,153.2
193,193,17,19816,D. Chark Jr.,73,1008,86.0,12.41,1452.0,96.8,19.9,15,15,6.82,21.8,1.91,2019,WR,DJ Chark Jr.,JAX,15,118,61.9,8,69,8.5,13.8,2,20,10.0,0,0,0,10.2,152.8
194,194,19,19800,C. Sutton,72,1112,95.5,12.38,1560.0,97.5,21.7,20,14,6.43,26.1,1.77,2019,WR,Courtland Sutton,DEN,16,125,57.6,6,70,8.9,15.4,3,17,5.7,0,2,0,9.4,150.42
195,195,22,16906,S. Diggs,63,1129,83.1,14.99,1394.0,92.9,22.1,5,7,7.42,21.9,2.3,2019,WR,Stefon Diggs,MIN,15,94,67.0,6,66,12.0,17.9,5,61,12.2,0,4,3,9.9,149.1
196,196,20,16640,J. Brown,72,1060,94.9,14.59,1677.5,111.8,23.3,10,5,6.5,25.7,1.91,2019,WR,John Brown,BUF,15,115,62.6,6,53,9.2,14.7,2,7,3.5,0,0,0,9.9,147.82
197,197,23,19867,M. Gallup,66,1107,87.6,13.31,1491.0,106.5,22.6,7,4,7.1,21.7,1.9,2019,WR,Michael Gallup,DAL,14,112,58.9,6,62,9.9,16.8,0,0,0.0,0,0,0,10.5,146.7
198,198,16,19844,D. Moore,87,1175,92.4,11.33,1529.0,101.9,17.6,13,6,6.72,24.3,1.71,2019,WR,DJ Moore,CAR,15,135,64.4,4,52,8.7,13.5,6,40,6.7,0,2,1,9.6,143.5
199,199,14,14871,R. Woods,90,1134,92.9,8.02,1123.0,74.9,12.5,10,3,6.68,23.4,1.66,2019,WR,Robert Woods,LAR,15,139,64.7,2,48,8.2,12.6,17,115,6.8,1,0,0,9.5,142.9
200,200,27,19802,C. Ridley,63,866,80.9,13.61,1266.0,97.4,20.1,8,7,7.34,17.7,2.1,2019,WR,Calvin Ridley,ATL,13,93,67.7,7,36,9.3,13.7,2,34,17.0,0,0,0,10.3,134.0
201,201,29,20873,T. McLaurin,58,919,98.2,13.94,1296.0,92.6,22.3,13,10,6.53,23.0,2.06,2019,WR,Terry McLaurin,WAS,14,93,62.4,7,75,9.9,15.8,0,0,0.0,0,0,0,9.6,133.9
202,202,18,17986,T. Boyd,90,1045,92.0,9.31,1369.0,85.6,15.2,11,4,7.45,24.9,1.52,2019,WR,Tyler Boyd,CIN,16,147,61.2,5,47,7.1,11.6,4,23,5.8,0,2,2,8.3,132.9
203,203,32,20932,D. Samuel,57,803,72.1,7.9,640.0,42.7,11.2,17,5,7.62,18.1,2.31,2019,WR,Deebo Samuel,SF,15,81,70.4,3,42,9.9,14.1,14,159,11.4,3,2,1,8.8,132.1
204,204,28,13870,M. Jones Jr.,62,779,94.1,14.07,1294.0,99.5,20.9,15,10,7.28,20.2,2.11,2019,WR,Marvin Jones Jr.,DET,13,92,67.4,9,47,8.5,12.6,2,0,0.0,0,0,0,10.1,131.9
205,205,31,18082,T. Hill,58,860,74.4,12.84,1130.0,94.2,19.5,7,4,7.02,21.9,2.14,2019,WR,Tyreek Hill,KC,12,89,65.2,7,57,9.7,14.8,8,23,2.9,0,0,0,10.9,130.3
206,206,24,16470,D. Adams,83,997,86.2,10.62,1349.0,112.4,16.3,23,9,7.58,30.3,1.66,2019,WR,Davante Adams,GB,12,127,65.4,5,58,7.9,12.0,0,0,0.0,0,2,1,10.8,129.7
207,207,33,20875,D. Metcalf,58,900,87.2,13.76,1376.0,86.0,23.7,18,17,7.0,20.3,1.85,2019,WR,DK Metcalf,SEA,16,100,58.0,7,54,9.0,15.5,2,11,5.5,0,3,3,8.1,129.1
208,208,25,16389,O. Beckham Jr.,74,1035,97.3,13.91,1849.5,115.6,25.0,13,12,6.45,25.6,1.51,2019,WR,Odell Beckham Jr.,CLE,16,133,55.6,4,89,7.8,14.0,3,10,3.3,0,1,1,8.0,127.3
209,209,30,11063,E. Sanders,66,869,80.4,11.09,1065.0,62.6,16.1,14,9,6.85,18.3,1.96,2019,WR,Emmanuel Sanders,SF,17,97,68.0,5,75,9.0,13.2,0,0,0.0,0,0,0,7.3,124.3
210,210,37,20943,D. Slayton,48,740,79.4,14.13,1173.0,83.8,24.4,7,5,6.93,16.6,2.05,2019,WR,Darius Slayton,NYG,14,83,57.8,8,55,8.9,15.4,0,0,0.0,0,0,0,8.7,122.0
211,211,26,16866,J. Crowder,78,834,84.3,7.95,970.0,60.6,12.4,16,6,6.66,24.7,1.62,2019,WR,Jamison Crowder,NYJ,16,122,63.9,6,41,6.8,10.7,1,4,4.0,0,0,0,7.5,119.7
212,212,34,14141,C. Beasley,67,778,74.6,7.76,815.0,54.3,12.2,9,2,6.67,23.4,1.72,2019,WR,Cole Beasley,BUF,15,104,64.4,6,51,7.5,11.6,0,0,0.0,0,0,0,7.9,117.8
213,213,36,18928,C. Samuel,54,627,91.0,14.41,1542.0,96.4,28.6,15,8,5.86,17.7,1.6,2019,WR,Curtis Samuel,CAR,16,106,50.9,6,44,5.9,11.6,19,130,6.8,1,0,0,7.4,117.7
214,214,39,18914,M. Williams,49,1001,87.5,17.43,1569.0,104.6,32.0,16,12,6.69,16.5,1.79,2019,WR,Mike Williams,LAC,15,90,54.4,2,56,11.1,20.4,1,2,2.0,0,0,0,7.5,112.3
215,215,40,18187,R. Anderson,52,778,95.9,15.15,1454.0,90.9,28.0,5,10,6.41,19.5,1.67,2019,WR,Robby Anderson,NYJ,16,96,54.2,5,92,8.1,15.0,1,4,4.0,0,1,0,6.9,110.3
216,216,43,16837,C. Conley,47,775,83.5,14.75,1342.0,83.9,28.6,8,6,6.81,16.1,1.7,2019,WR,Chris Conley,JAX,16,90,52.2,5,70,8.6,16.5,0,0,0.0,0,0,0,6.8,109.5
217,217,44,11611,G. Tate,49,676,90.2,10.48,891.0,81.0,18.2,9,4,7.35,21.4,1.81,2019,WR,Golden Tate,NYG,11,85,57.6,6,64,8.0,13.8,1,16,16.0,0,1,1,9.4,103.2
218,218,35,5571,L. Fitzgerald,75,804,88.2,7.88,859.0,53.7,11.5,14,6,7.27,20.6,1.63,2019,WR,Larry Fitzgerald,ARI,16,109,68.8,4,54,7.4,10.7,0,0,0.0,0,1,1,6.4,102.4
219,219,50,16787,B. Perriman,36,645,66.2,16.41,1132.0,80.9,31.4,2,11,6.01,13.0,2.0,2019,WR,Breshad Perriman,TB,14,70,51.4,6,44,9.2,17.9,2,16,8.0,0,0,0,7.3,102.1
220,220,47,17048,T. Williams,42,651,91.3,13.25,848.0,65.2,20.2,8,7,7.38,16.5,2.24,2019,WR,Tyrell Williams,LV,14,64,65.6,6,46,10.2,15.5,0,0,0.0,0,0,0,7.2,101.1
221,221,46,21045,M. Brown,46,584,59.0,11.85,841.0,60.1,18.3,13,10,7.32,18.9,2.06,2019,WR,Marquise Brown,BAL,14,71,64.8,7,83,8.2,12.7,0,0,0.0,0,0,0,7.2,100.4
222,222,38,19815,C. Kirk,68,709,98.5,9.68,1045.0,80.4,15.4,12,2,7.01,24.5,1.54,2019,WR,Christian Kirk,ARI,13,107,63.6,3,69,6.6,10.4,10,93,9.3,0,0,0,7.7,100.2
223,223,42,13227,R. Cobb,55,828,68.8,10.2,847.0,56.5,15.4,8,3,7.5,15.5,1.87,2019,WR,Randall Cobb,DAL,15,83,66.3,3,59,10.0,15.1,3,11,3.7,0,2,1,6.7,99.9
224,224,41,21077,D. Johnson,59,680,66.9,9.1,837.0,52.3,14.2,7,2,6.85,18.9,1.71,2019,WR,Diontae Johnson,PIT,16,92,64.1,5,45,7.4,11.5,4,41,10.2,0,5,2,6.1,98.1
225,225,55,19172,Z. Pascal,41,607,82.5,11.64,838.0,59.9,20.4,12,8,6.77,16.6,1.85,2019,WR,Zach Pascal,IND,16,72,56.9,5,37,8.4,14.8,2,16,8.0,0,0,0,5.9,94.3
