,index,rank,playerplayerid,playershortname,receptions,receivingyards,snapshare,averagetargetdistance,airyards,airyardspergame,airyardsperreception,redzonetargets,endzonetargets,targetaccuracy,targetshare,fantasypointspertarget,year,position,name,team,played,receivingtargets,receptionpercentage,receivingtouchdowns,receivinglong,receivingyardspertarget,receivingyardsperreception,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,fumbles,fumbleslost,fantasypointspergame,fantasypoints
25,25,27,16765,A. Cooper,68,865,77.93,11.5,1185.0,79.0,17.4,19,9,7.33,18.83,1.97,2021,WR,Amari Cooper,DAL,15,103,66.0,8,41,8.4,12.7,0,0,0.0,0,1,0,9.0,134.5
26,26,28,15534,A. Thielen,67,726,84.29,9.9,941.0,72.38,14.0,15,8,7.23,20.97,2.1,2021,WR,Adam Thielen,MIN,13,95,70.5,10,35,7.6,10.8,1,2,2.0,0,1,0,10.2,132.8
27,27,26,19815,C. Kirk,77,982,73.6,11.24,1158.0,68.11,15.0,10,8,7.79,18.07,2.02,2021,WR,Christian Kirk,ARI,17,103,74.8,5,50,9.5,12.8,1,11,11.0,0,0,0,7.7,130.62
28,28,33,19318,K. Bourne,55,800,52.81,8.35,585.0,34.41,10.6,7,3,7.89,13.53,2.58,2021,WR,Kendrick Bourne,NE,17,70,78.6,5,75,11.4,14.5,12,125,10.4,0,1,1,7.4,125.5
29,29,30,21687,D. Smith,64,916,82.83,14.43,1487.0,87.47,23.2,8,11,7.03,22.1,1.8,2021,WR,DeVonta Smith,PHI,17,104,61.5,5,46,8.8,14.3,0,0,0.0,0,1,1,7.2,121.6
30,30,36,21739,V. Jefferson,50,802,81.08,13.28,1182.0,69.52,23.6,16,9,7.02,14.78,1.89,2021,WR,Van Jefferson,LAR,17,89,56.2,6,79,9.0,16.0,2,20,10.0,0,0,0,7.0,118.2
31,31,32,21042,A. Brown,63,869,70.04,10.95,1150.0,88.46,18.3,10,9,7.5,26.99,1.72,2021,WR,A.J. Brown,TEN,13,105,60.0,5,57,8.3,13.8,2,10,5.0,0,0,0,9.1,117.9
32,32,31,17986,T. Boyd,67,828,78.14,7.34,690.0,43.12,10.3,7,4,7.42,18.39,1.96,2021,WR,Tyler Boyd,CIN,16,94,71.3,5,68,8.8,12.4,2,22,11.0,0,1,0,7.3,116.84
33,33,35,21747,B. Aiyuk,56,826,83.57,9.48,806.0,47.41,14.4,10,10,7.41,18.51,2.0,2021,WR,Brandon Aiyuk,SF,17,84,66.7,5,43,9.8,14.8,5,17,3.4,0,2,1,6.7,114.3
34,34,40,21714,K. Osborn,50,655,67.59,10.52,863.0,50.76,17.3,8,5,6.4,14.66,1.93,2021,WR,K.J. Osborn,MIN,17,82,61.0,7,64,8.0,13.1,1,10,10.0,0,0,0,6.4,108.5
35,35,37,21752,C. Claypool,59,860,80.22,11.45,1203.0,80.2,20.4,13,8,7.07,18.65,1.59,2021,WR,Chase Claypool,PIT,15,105,56.2,2,59,8.2,14.6,14,96,6.9,0,0,0,7.2,107.6
36,36,34,13870,M. Jones Jr.,73,832,90.2,11.47,1354.0,79.64,18.5,16,13,7.24,20.27,1.53,2021,WR,Marvin Jones Jr.,JAX,17,120,60.8,4,33,6.9,11.4,0,0,0.0,0,0,0,6.3,107.2
37,37,43,21750,M. Callaway,46,698,69.79,12.6,1059.0,62.29,23.0,9,8,6.87,17.87,1.81,2021,WR,Marquez Callaway,NO,17,84,54.8,6,58,8.3,15.2,0,0,0.0,0,0,0,6.2,105.8
38,38,46,14986,D. Hopkins,42,572,83.85,12.36,779.0,77.9,18.5,15,10,7.26,20.45,2.34,2021,WR,DeAndre Hopkins,ARI,10,64,65.6,8,55,8.9,13.6,0,0,0.0,0,0,0,10.5,105.2
39,39,42,19207,T. Patrick,53,734,82.35,11.8,1003.0,62.68,18.9,11,8,7.2,17.31,1.84,2021,WR,Tim Patrick,DEN,16,85,62.4,5,44,8.6,13.8,0,0,0.0,0,0,0,6.5,103.4
40,40,29,20876,J. Meyers,83,867,82.65,9.61,1211.0,71.23,14.6,13,4,7.18,24.37,1.48,2021,WR,Jakobi Meyers,NE,17,126,65.9,2,39,6.9,10.4,1,9,9.0,0,1,1,6.1,103.3
41,41,45,20013,C. Wilson Jr.,45,602,45.63,9.47,578.0,36.12,12.8,9,2,8.27,10.23,2.42,2021,WR,Cedrick Wilson Jr.,DAL,16,61,73.8,6,73,9.9,13.4,2,11,5.5,0,3,0,6.4,102.82
42,42,41,12845,A. Green,54,848,80.22,12.58,1158.0,72.37,21.4,16,11,6.92,16.91,1.7,2021,WR,A.J. Green,ARI,16,92,58.7,3,42,9.2,15.7,0,0,0.0,0,0,0,6.4,102.8
43,43,47,20145,A. Lazard,40,513,72.78,11.0,660.0,44.0,16.5,16,11,7.5,11.9,2.38,2021,WR,Allen Lazard,GB,15,60,66.7,8,42,8.6,12.8,3,32,10.7,0,0,0,6.8,102.5
44,44,38,20006,R. Gage,66,770,72.22,9.17,853.0,60.92,12.9,14,6,7.68,22.03,1.75,2021,WR,Russell Gage,ATL,14,94,70.2,4,49,8.2,11.7,0,0,0.0,0,2,2,6.9,97.0
45,45,50,22592,E. Moore,43,538,68.1,10.79,831.0,75.54,19.3,8,3,6.78,18.59,1.79,2021,WR,Elijah Moore,NYJ,11,77,55.8,5,62,7.0,12.5,5,54,10.8,1,0,0,8.7,95.2
46,46,44,19800,C. Sutton,58,776,85.46,15.65,1534.0,90.23,26.4,11,4,7.21,18.91,1.53,2021,WR,Courtland Sutton,DEN,17,98,59.2,2,55,7.9,13.4,0,0,0.0,0,0,0,5.4,92.24
47,47,51,14871,R. Woods,45,556,93.65,8.13,561.0,62.33,12.5,16,5,7.31,21.49,1.99,2021,WR,Robert Woods,LAR,9,69,65.2,4,28,8.1,12.4,8,46,5.8,1,0,0,10.2,92.2
48,48,58,21735,G. Davis,35,549,49.29,13.39,844.0,52.75,24.1,17,11,6.46,10.88,2.0,2021,WR,Gabriel Davis,BUF,16,63,55.6,6,49,8.7,15.7,0,0,0.0,0,0,0,5.7,90.9
49,49,54,11063,E. Sanders,42,626,77.39,15.62,1125.0,80.35,26.8,10,11,7.15,13.76,1.83,2021,WR,Emmanuel Sanders,BUF,14,72,58.3,4,41,8.7,14.9,2,31,15.5,0,0,0,6.4,89.7
50,50,49,18187,R. Anderson,53,519,85.06,9.74,1072.0,63.05,20.2,8,6,6.15,19.26,1.26,2021,WR,Robby Anderson,CAR,17,110,48.2,5,57,4.7,9.8,3,36,12.0,0,0,0,5.0,85.5
51,51,55,16389,O. Beckham Jr.,44,537,72.73,11.45,939.0,67.07,21.3,12,7,6.89,17.74,1.57,2021,WR,Odell Beckham Jr.,LAR,14,82,53.7,5,54,6.5,12.2,2,14,7.0,0,0,0,6.1,85.1
52,52,57,20150,B. Pringle,42,568,47.79,11.1,666.0,39.17,15.9,6,4,7.79,9.46,2.11,2021,WR,Byron Pringle,KC,17,60,70.0,5,40,9.5,13.5,0,0,0.0,0,2,1,5.0,84.8
53,53,53,18422,K. Raymond,48,576,70.83,9.53,677.0,42.31,14.1,5,0,7.25,13.65,1.86,2021,WR,Kalif Raymond,DET,16,71,67.6,4,75,8.1,12.0,4,28,7.0,0,0,0,5.3,84.4
54,54,48,20788,M. Hardman,59,693,53.53,7.51,624.0,36.7,10.6,16,3,8.19,13.09,1.7,2021,WR,Mecole Hardman,KC,17,83,71.1,2,53,8.3,11.7,8,46,5.8,0,3,2,4.8,81.9
55,55,52,16020,J. Landry,52,570,69.61,5.23,445.0,37.08,8.6,10,3,6.38,24.7,1.56,2021,WR,Jarvis Landry,CLE,12,87,59.8,2,38,6.6,11.0,6,40,6.7,2,3,2,6.8,81.0
56,56,59,11056,A. Brown,42,545,55.81,10.64,660.0,94.28,15.7,3,4,7.7,21.6,1.95,2021,WR,Antonio Brown,TB,7,62,67.7,4,62,8.8,13.0,1,6,6.0,0,0,0,11.3,79.1
57,57,39,14141,C. Beasley,82,693,61.31,5.41,606.0,37.87,7.4,13,2,7.74,19.34,1.42,2021,WR,Cole Beasley,BUF,16,112,73.2,1,29,6.2,8.5,0,0,0.0,0,1,0,4.8,77.3
58,58,62,21163,D. Harty,36,570,29.23,7.69,454.0,34.92,12.6,5,0,5.38,15.77,1.92,2021,WR,Deonte Harty,NO,13,59,61.0,3,72,9.7,15.8,5,41,8.2,0,2,1,5.9,77.1
59,59,64,21754,D. Peoples-Jones,34,597,77.1,14.68,852.0,60.85,25.1,4,3,7.11,14.42,1.89,2021,WR,Donovan Peoples-Jones,CLE,14,58,58.6,3,60,10.3,17.6,0,0,0.0,0,2,1,5.4,75.7
60,60,65,21736,B. Edwards,34,571,75.29,14.6,847.0,52.93,24.9,7,8,7.45,10.26,1.88,2021,WR,Bryan Edwards,LV,16,59,57.6,3,51,9.7,16.8,1,0,0.0,0,1,0,4.7,75.1
61,61,61,21957,Q. Watkins,43,647,70.28,11.16,692.0,40.7,16.1,7,3,7.37,13.3,1.87,2021,WR,Quez Watkins,PHI,17,62,69.4,1,91,10.4,15.0,1,3,3.0,0,0,0,4.3,73.0
62,62,69,18879,C. Davis,34,492,80.11,12.69,749.0,83.22,22.0,5,3,7.62,18.2,1.78,2021,WR,Corey Davis,NYJ,9,59,57.6,4,53,8.3,14.5,0,0,0.0,0,2,1,7.9,71.2
63,63,67,21734,N. Westbrook-Ikhine,38,476,58.96,10.69,599.0,37.43,15.8,11,2,7.5,11.22,1.92,2021,WR,Nick Westbrook-Ikhine,TEN,16,57,66.7,4,46,8.4,12.5,0,0,0.0,0,1,1,4.4,69.6
64,64,60,20038,B. Berrios,46,431,37.82,4.61,300.0,18.75,6.5,8,2,7.3,11.6,1.86,2021,WR,Braxton Berrios,NYJ,16,65,70.8,2,46,6.6,9.4,7,40,5.7,2,1,1,4.3,69.1
