,index,rank,playerplayerid,playershortname,playerageexact,rushingyards,yardspercarry,rushingtouchdowns,targets,receptions,receivingyards,snapshare,opportunityshare,shotguncarryrate,shotgunyardspercarry,undercentercarryrate,undercenteryardspercarry,averagedefendersinthebox,stackedfrontcarryrate,basefrontcarryrate,lightfrontcarryrate,year,position,name,team,played,rushingattempts,receivingtouchdowns,fumbles,fumbleslost,fantasypointspergame,fantasypoints
116,116,120,21782,J. Ward,24.8,33,3.66,0,4,3,34,5.26,3.73,88.88,1.0,11.11,1.0,6.33,11.11,11.11,77.77,2021,RB,Jonathan Ward,ARI,13,9,0,0,0,0.5,6.7
117,117,140,19924,I. Smith,26.8,4,4.0,1,0,0,0,3.44,2.77,0.0,0.0,100.0,1.0,8.0,100.0,0.0,0.0,2021,RB,Ito Smith,DAL,1,1,0,0,0,6.4,6.4
118,118,119,20159,M. Boone,27.0,35,8.75,0,2,2,22,4.15,2.46,75.0,1.0,25.0,1.0,4.0,0.0,0.0,100.0,2021,RB,Mike Boone,DEN,8,4,0,0,0,0.7,5.7
119,119,112,20990,T. Williams,24.7,51,3.4,0,2,1,4,10.06,12.4,13.33,1.0,86.66,1.0,6.73,26.66,33.33,40.0,2021,RB,Trayveon Williams,CIN,5,15,0,0,0,1.1,5.5
120,120,112,21764,J. Huntley,24.2,51,3.92,0,1,0,0,43.47,42.42,84.61,1.0,15.38,1.0,6.53,0.0,53.84,46.15,2021,RB,Jason Huntley,PHI,1,13,0,0,0,5.1,5.1
121,121,149,21775,R. Smith,26.4,0,0.0,0,5,5,48,15.94,8.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,RB,Rodney Smith,DET,2,0,0,0,0,2.4,4.8
122,122,124,18070,W. Smallwood,28.5,25,5.0,0,5,4,22,11.23,11.62,80.0,1.0,20.0,1.0,0.4,0.0,0.0,20.0,2021,RB,Wendell Smallwood,WAS,3,5,0,0,0,1.6,4.7
123,123,118,19824,K. Ballage,26.5,36,3.0,0,7,2,8,4.81,4.09,66.66,1.0,33.33,1.0,5.91,8.33,25.0,58.33,2021,RB,Kalen Ballage,PIT,17,12,0,0,0,0.3,4.4
124,124,121,21797,L. Perine,24.4,31,3.87,0,0,0,0,9.19,7.01,50.0,1.0,50.0,1.0,4.62,0.0,0.0,100.0,2021,RB,La'Mical Perine,NYJ,4,8,0,0,0,0.8,3.1
125,125,125,21840,K. Hill,23.9,24,2.4,0,2,1,5,5.31,5.1,30.0,1.0,70.0,1.0,5.6,0.0,10.0,90.0,2021,RB,Kylin Hill,GB,8,10,0,0,0,0.4,2.9
126,126,128,18152,D. Washington,28.2,16,4.0,0,2,2,12,1.13,1.56,25.0,1.0,75.0,1.0,6.25,0.0,25.0,75.0,2021,RB,Dwayne Washington,NO,14,4,0,0,0,0.2,2.8
127,127,134,19996,J. Samuels,26.0,9,1.8,0,4,3,14,9.14,10.22,40.0,1.0,60.0,1.0,7.4,40.0,60.0,0.0,2021,RB,Jaylen Samuels,HOU,3,5,0,0,0,0.8,2.3
128,128,129,21856,S. Phillips,24.7,13,2.16,0,3,2,9,10.85,15.25,66.66,1.0,33.33,1.0,5.66,0.0,16.66,83.33,2021,RB,Scottie Phillips,HOU,3,6,0,0,0,0.7,2.2
129,129,140,21211,P. Laird,26.9,4,4.0,0,3,3,17,12.59,2.35,100.0,1.0,0.0,0.0,4.0,0.0,0.0,100.0,2021,RB,Patrick Laird,MIA,6,1,0,0,0,0.4,2.1
130,130,127,17217,R. Mostert,30.2,20,10.0,0,0,0,0,7.4,8.69,0.0,0.0,100.0,1.0,7.5,50.0,50.0,0.0,2021,RB,Raheem Mostert,SF,1,2,0,0,0,2.0,2.0
131,131,136,21845,D. Evans,24.0,7,3.5,0,2,2,11,9.83,11.11,50.0,1.0,50.0,1.0,4.5,0.0,0.0,100.0,2021,RB,Darrynton Evans,TEN,1,2,0,0,0,1.8,1.8
132,132,140,20103,R. Bonnafon,26.5,4,4.0,0,2,2,12,4.83,3.65,100.0,1.0,0.0,0.0,6.0,0.0,0.0,100.0,2021,RB,Reggie Bonnafon,CAR,4,1,0,0,0,0.4,1.6
133,133,134,22537,T. Ragas,25.7,9,9.0,0,2,2,6,14.75,13.63,100.0,1.0,0.0,0.0,4.0,0.0,0.0,100.0,2021,RB,Trey Ragas,LV,1,1,0,0,0,1.5,1.5
134,134,146,21854,A. McFarland Jr.,24.3,3,1.0,0,1,1,11,10.15,7.27,33.33,1.0,66.66,1.0,6.33,0.0,33.33,66.66,2021,RB,Anthony McFarland Jr.,PIT,2,3,0,0,0,0.7,1.4
135,135,129,19957,J. Kelly,25.8,13,6.5,0,0,0,0,1.34,1.73,0.0,0.0,100.0,1.0,7.0,0.0,100.0,0.0,2021,RB,John Kelly,CLE,4,2,0,0,0,0.3,1.3
136,136,146,21688,C. Akers,23.0,3,0.6,0,3,3,10,20.31,24.24,0.0,0.0,100.0,1.0,7.2,20.0,80.0,0.0,2021,RB,Cam Akers,LAR,1,5,0,0,0,1.3,1.3
137,137,131,20906,J. Patrick,25.5,12,6.0,0,0,0,0,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,RB,Jacques Patrick,SF,1,2,0,0,0,1.2,1.2
138,138,132,22677,M. Sargent,24.7,11,2.2,0,1,0,0,1.11,2.75,0.0,0.0,80.0,1.0,5.0,0.0,60.0,20.0,2021,RB,Mekhi Sargent,JAX,7,5,0,0,0,0.2,1.1
139,139,132,20318,B. Howell,26.3,11,2.2,0,0,0,0,0.95,1.93,20.0,1.0,80.0,1.0,4.4,0.0,0.0,100.0,2021,RB,Buddy Howell,LAR,10,5,0,0,0,0.1,1.1
140,140,140,22672,G. Brightwell,23.4,4,4.0,0,1,1,6,1.6,0.63,0.0,0.0,100.0,1.0,7.0,0.0,100.0,0.0,2021,RB,Gary Brightwell,NYG,13,1,0,0,0,0.1,1.0
141,141,140,20106,R. Nall,26.5,4,4.0,0,1,1,4,3.33,0.84,0.0,0.0,100.0,1.0,7.0,0.0,100.0,0.0,2021,RB,Ryan Nall,CHI,9,1,0,0,0,0.1,0.8
142,142,136,21240,D. Crockett,24.5,7,2.33,0,0,0,0,0.52,0.83,0.0,0.0,100.0,1.0,6.0,0.0,0.0,100.0,2021,RB,Damarea Crockett,DEN,12,3,0,0,0,0.1,0.7
143,143,139,22678,J. Funk,24.5,5,2.5,0,0,0,0,3.07,0.72,50.0,1.0,50.0,1.0,7.0,0.0,100.0,0.0,2021,RB,Jake Funk,LAR,10,2,0,0,0,0.0,0.5
144,144,164,20904,D. Ozigbo,25.8,-3,-3.0,0,1,1,7,6.04,2.43,0.0,0.0,100.0,1.0,8.0,100.0,0.0,0.0,2021,RB,Devine Ozigbo,NE,3,1,0,0,0,0.1,0.4
145,145,146,22441,N. Cottrell,25.9,3,3.0,0,0,0,0,0.8,0.99,0.0,0.0,100.0,1.0,6.0,0.0,0.0,100.0,2021,RB,Nathan Cottrell,JAX,4,1,0,0,0,0.1,0.3
146,146,149,13063,T. Jones,33.9,0,0.0,0,0,0,0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,RB,Taiwan Jones,BUF,17,0,0,0,0,0.0,0.0
147,147,149,19979,J. Wilkins,28.0,0,0.0,0,0,0,0,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,RB,Jordan Wilkins,TEN,5,0,0,0,0,0.0,0.0
148,148,149,20075,J. Adams,25.7,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,RB,Josh Adams,NYJ,1,0,0,0,0,0.0,0.0
149,149,149,19822,K. Johnson,25.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,RB,Kerryon Johnson,SF,1,0,0,0,0,0.0,0.0
150,150,149,21848,A. Pierce,26.1,0,0.0,0,0,0,0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,RB,Artavis Pierce,CHI,1,0,0,0,0,0.0,0.0
151,151,149,21825,S. Brown,23.6,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,RB,Spencer Brown,CAR,1,0,0,0,0,0.0,0.0
152,152,149,19033,B. Hill,26.7,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,RB,Brian Hill,SF,3,0,0,0,0,0.0,0.0
153,153,149,21850,T. Feaster,24.5,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,RB,Tavien Feaster,ARI,3,0,0,0,0,0.0,0.0
154,154,149,21826,D. Bradwell,25.1,0,0.0,0,1,0,0,2.4,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,RB,Darius Bradwell,LAC,2,0,0,0,0,0.0,0.0
155,155,149,22652,J. Johnson,24.5,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,RB,Josh Johnson,SEA,3,0,0,0,0,0.0,0.0
156,156,149,15185,K. Barner,33.2,0,0.0,0,0,0,0,5.67,4.93,25.0,1.0,75.0,1.0,7.75,50.0,50.0,0.0,2021,RB,Kenjon Barner,TB,3,4,0,0,0,0.0,0.0
157,157,149,19599,T. Edmunds,27.5,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,RB,Trey Edmunds,PIT,2,0,0,0,0,0.0,0.0
158,158,149,20935,J. Scarlett,27.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,RB,Jordan Scarlett,MIA,1,0,0,0,0,0.0,0.0
159,159,163,23052,N. McCrary,23.2,-1,-1.0,0,0,0,0,2.94,3.7,100.0,1.0,0.0,0.0,6.0,0.0,0.0,100.0,2021,RB,Nate McCrary,BAL,1,1,0,0,0,-0.1,-0.1
160,160,138,21310,K. Blasingame,26.0,6,2.0,0,2,2,4,9.45,1.26,0.0,0.0,100.0,1.0,7.0,0.0,100.0,0.0,2021,RB,Khari Blasingame,TEN,11,3,0,1,1,-0.1,-1.0
161,161,140,20040,T. Cannon,28.0,4,1.33,0,0,0,0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,RB,Trenton Cannon,SF,12,3,0,1,1,-0.1,-1.6
162,162,3,17959,D. Henry,28.5,2027,5.36,17,31,19,114,65.65,78.5,13.22,4.3,87.03,5.5,7.13,31.74,43.91,24.33,2020,RB,Derrick Henry,TEN,16,378,0,3,2,19.6,314.1
163,163,1,18878,A. Kamara,27.0,932,4.98,16,107,83,756,58.76,61.37,26.2,5.51,73.79,4.79,7.04,25.13,41.17,34.22,2020,RB,Alvin Kamara,NO,15,187,5,1,0,19.7,294.8
164,164,2,18872,D. Cook,26.9,1557,4.99,16,54,44,361,71.8,79.91,17.3,4.51,83.65,5.03,7.16,30.44,45.83,24.67,2020,RB,Dalvin Cook,MIN,14,312,1,5,3,21.0,293.8
165,165,6,21682,J. Taylor,23.5,1169,5.03,11,39,36,299,48.08,52.82,46.98,5.91,53.01,4.26,6.91,21.98,43.1,34.91,2020,RB,Jonathan Taylor,IND,15,232,1,1,1,14.5,216.8
166,166,5,19045,A. Jones,27.6,1104,5.49,9,63,47,355,59.95,60.55,36.81,6.33,63.18,5.0,6.76,24.87,33.83,40.79,2020,RB,Aaron Jones,GB,14,201,2,2,0,15.1,211.9
167,167,4,20882,D. Montgomery,25.1,1070,4.33,8,68,54,438,72.88,90.0,44.12,5.25,56.27,3.58,6.86,19.02,43.72,37.65,2020,RB,David Montgomery,CHI,15,247,2,1,1,14.1,210.8
168,168,7,21970,J. Robinson,23.9,1070,4.45,7,60,49,344,70.82,85.71,29.16,6.54,71.66,3.59,6.73,17.08,39.58,43.75,2020,RB,James Robinson,JAX,14,240,3,3,1,14.4,201.4
169,169,8,20824,J. Jacobs,24.4,1065,3.9,12,45,33,238,61.41,68.83,33.69,4.34,66.3,3.66,6.98,29.67,32.6,37.36,2020,RB,Josh Jacobs,LV,15,273,0,2,2,13.2,198.3
170,170,11,19798,N. Chubb,26.5,1067,5.61,12,18,16,150,48.61,51.61,12.63,4.0,87.36,5.84,7.06,28.94,48.94,21.05,2020,RB,Nick Chubb,CLE,12,190,0,1,1,16.0,191.7
171,171,10,18944,K. Hunt,26.9,841,4.24,6,51,38,304,50.83,49.4,13.13,4.57,86.86,4.19,7.12,31.81,45.45,22.22,2020,RB,Kareem Hunt,CLE,16,198,5,2,0,11.3,180.5
172,172,9,17923,E. Elliott,27.0,979,4.01,6,71,52,338,72.42,71.91,34.01,3.93,65.98,4.04,6.5,12.7,40.16,46.31,2020,RB,Ezekiel Elliott,DAL,15,244,2,6,5,11.4,171.7
173,173,16,18003,K. Drake,28.4,955,3.99,10,31,25,137,56.8,66.17,88.7,3.89,11.29,4.77,6.59,16.31,34.72,47.69,2020,RB,Kenyan Drake,ARI,15,239,0,3,1,11.1,167.2
174,174,14,16776,M. Gordon III,29.2,986,4.58,9,44,32,158,63.09,62.86,41.39,4.87,58.6,4.38,6.25,12.09,24.18,63.72,2020,RB,Melvin Gordon III,DEN,15,215,1,4,4,11.1,166.4
175,175,13,21861,A. Gibson,24.0,795,4.67,11,44,36,247,42.99,47.34,60.58,4.92,39.41,4.29,6.51,12.94,27.05,60.0,2020,RB,Antonio Gibson,WAS,14,170,0,2,2,11.9,166.2
176,176,20,19861,R. Jones II,24.9,978,5.09,7,42,28,165,46.71,60.15,24.47,5.7,75.52,4.89,6.88,22.39,38.02,39.58,2020,RB,Ronald Jones II,TB,14,192,1,2,2,11.3,158.3
177,177,19,19119,C. Carson,27.8,681,4.82,5,46,37,287,51.04,57.89,46.8,4.75,53.19,4.89,6.54,9.21,43.97,46.09,2020,RB,Chris Carson,SEA,12,141,4,1,0,12.6,150.8
178,178,24,21674,J. Dobbins,23.6,805,6.0,9,24,18,120,46.93,40.3,93.28,6.16,7.46,3.4,7.2,28.35,51.49,20.89,2020,RB,J.K. Dobbins,BAL,15,134,0,2,0,10.0,150.5
179,179,12,16887,M. Davis,29.4,642,3.89,6,70,59,373,60.04,61.67,21.21,3.65,78.78,3.97,7.14,37.57,36.36,25.45,2020,RB,Mike Davis,CAR,15,165,2,1,1,9.8,147.5
180,180,21,16847,D. Johnson,30.6,691,4.7,6,46,33,314,73.8,73.94,59.18,4.42,40.81,5.1,6.57,17.68,35.37,46.25,2020,RB,David Johnson,HOU,12,147,2,2,1,12.2,146.5
181,181,18,21684,D. Swift,23.5,521,4.57,8,57,46,357,47.46,48.57,35.96,3.63,64.03,5.09,6.95,26.31,41.22,32.45,2020,RB,D'Andre Swift,DET,13,114,2,3,2,11.1,143.8
182,182,23,20933,M. Sanders,25.2,867,5.28,6,52,28,197,70.36,76.32,71.95,5.97,28.65,3.44,6.65,15.24,42.07,42.07,2020,RB,Miles Sanders,PHI,12,164,0,4,2,11.9,142.4
183,183,22,21769,C. Edwards-Helaire,23.2,803,4.43,4,54,36,297,58.58,66.76,64.64,4.82,35.35,3.73,6.48,12.7,30.38,56.9,2020,RB,Clyde Edwards-Helaire,KC,13,181,1,0,0,10.8,140.0
184,184,29,16771,T. Gurley II,27.9,678,3.47,9,34,25,164,48.81,54.78,23.07,5.35,77.43,2.9,6.87,18.97,42.05,39.48,2020,RB,Todd Gurley II,ATL,15,195,0,2,0,9.2,138.2
185,185,15,19912,N. Hines,25.6,380,4.26,3,76,63,482,35.19,30.38,78.65,4.18,22.47,4.35,6.5,12.35,23.59,65.16,2020,RB,Nyheim Hines,IND,16,89,4,0,0,8.1,130.2
186,186,27,18983,J. Conner,27.2,721,4.26,6,43,35,215,60.83,63.85,60.35,4.46,39.64,3.91,6.97,27.81,32.54,39.64,2020,RB,James Conner,PIT,13,169,0,2,0,10.0,129.6
187,187,32,20360,J. Wilson Jr.,26.6,600,4.76,7,28,13,133,39.48,45.16,30.95,4.46,69.04,4.93,7.18,28.57,53.96,17.46,2020,RB,Jeff Wilson Jr.,SF,11,126,3,2,2,11.8,129.3
188,188,28,20768,M. Gaskin,25.4,584,4.11,3,47,41,388,67.19,67.98,69.01,4.5,30.98,3.25,6.77,17.6,41.54,40.14,2020,RB,Myles Gaskin,MIA,10,142,2,2,2,12.3,123.2
189,189,37,20239,G. Edwards,27.2,723,5.02,6,13,9,129,33.46,38.1,93.05,5.26,6.94,1.8,7.3,33.33,51.38,15.27,2020,RB,Gus Edwards,BAL,16,144,0,1,1,7.4,119.2
190,190,33,18996,W. Gallman,27.8,682,4.63,6,27,21,114,41.0,46.52,37.41,3.45,62.58,5.34,7.16,36.05,38.77,24.48,2020,RB,Wayne Gallman,NYG,15,147,0,1,0,7.7,115.6
191,191,25,19919,C. Edmonds,26.2,448,4.61,1,67,53,402,43.77,37.44,92.78,4.72,7.21,2.85,6.22,10.3,22.68,67.01,2020,RB,Chase Edmonds,ARI,16,97,4,2,0,7.2,115.0
192,192,36,20798,D. Henderson Jr.,24.9,624,4.52,5,24,16,159,32.11,38.02,4.34,4.16,95.65,4.55,6.89,26.08,42.75,31.15,2020,RB,Darrell Henderson Jr.,LAR,15,138,1,0,0,7.6,114.3
193,193,34,15071,L. Murray,32.5,656,4.49,4,26,23,176,31.62,35.9,11.64,3.7,88.35,4.59,7.34,43.15,45.89,10.95,2020,RB,Latavius Murray,NO,15,146,1,1,0,7.5,113.2
194,194,40,4807,A. Peterson,37.3,604,3.87,7,18,12,101,29.88,40.55,22.43,3.68,77.56,3.92,6.92,25.0,39.1,35.25,2020,RB,Adrian Peterson,DET,16,156,0,0,0,7.0,112.5
195,195,17,18464,J. McKissic,28.9,365,4.29,1,110,80,589,57.81,38.23,60.0,4.17,40.0,4.47,6.35,9.41,23.52,67.05,2020,RB,J.D. McKissic,WAS,16,85,2,3,1,7.0,111.4
196,196,26,19562,A. Ekeler,27.1,530,4.56,1,65,54,403,56.25,54.84,50.0,4.53,50.0,4.6,6.64,13.79,43.1,43.1,2020,RB,Austin Ekeler,LAC,10,116,2,1,0,11.1,111.3
197,197,30,14916,G. Bernard,30.6,416,3.35,3,59,47,355,46.44,42.16,66.12,3.7,33.87,2.66,6.56,12.9,36.29,50.0,2020,RB,Giovani Bernard,CIN,16,124,3,1,1,6.9,111.1
198,198,31,20941,D. Singletary,24.8,687,4.4,2,50,38,269,56.39,56.43,52.56,4.29,47.43,4.51,6.03,2.56,28.84,67.3,2020,RB,Devin Singletary,BUF,16,156,0,1,1,6.6,105.6
199,199,38,18995,J. Williams,27.3,505,4.24,2,35,31,236,45.61,36.15,50.42,3.66,51.26,4.67,6.86,21.84,37.81,42.01,2020,RB,Jamaal Williams,GB,14,119,1,0,0,6.9,96.1
200,200,35,18803,L. Fournette,27.5,367,3.78,6,47,36,233,42.78,41.86,22.68,3.31,77.31,3.92,6.84,17.52,43.29,39.17,2020,RB,Leonard Fournette,TB,13,97,0,0,0,7.4,96.0
201,201,39,16510,J. McKinnon,30.2,319,3.93,5,46,33,253,32.41,26.13,50.61,3.73,49.38,4.15,6.66,19.75,43.2,35.8,2020,RB,Jerick McKinnon,SF,16,81,1,0,0,5.8,93.2
202,202,41,20912,T. Pollard,25.2,435,4.3,4,40,28,193,31.46,30.45,36.63,4.13,63.36,4.4,6.75,25.74,32.67,41.58,2020,RB,Tony Pollard,DAL,16,101,1,0,0,5.8,92.7
203,203,45,21688,C. Akers,23.0,625,4.31,2,14,11,123,32.46,42.17,5.51,2.0,94.48,4.44,7.3,35.86,49.65,14.48,2020,RB,Cam Akers,LAR,13,145,1,1,1,7.0,90.8
204,204,46,21784,Z. Moss,24.6,481,4.29,4,18,14,95,43.85,43.91,31.25,3.51,68.75,4.64,6.62,14.28,32.14,53.57,2020,RB,Zack Moss,BUF,13,112,1,0,0,6.7,87.6
205,205,53,20790,D. Harris,25.4,691,5.04,2,7,5,52,40.71,48.48,10.94,4.86,89.05,5.06,7.35,42.33,49.63,7.29,2020,RB,Damien Harris,NE,10,137,0,1,0,8.6,86.3
206,206,43,17053,M. Brown,29.1,419,4.14,5,33,23,162,42.11,29.45,14.85,3.8,85.14,4.19,6.38,13.86,35.64,48.51,2020,RB,Malcolm Brown,LAR,16,101,0,1,1,5.4,86.1
207,207,47,5820,F. Gore,39.1,653,3.49,2,19,16,89,41.25,51.11,37.96,3.85,62.03,3.26,6.4,10.69,31.55,57.75,2020,RB,Frank Gore,NYJ,15,187,0,1,1,5.6,84.2
208,208,48,17217,R. Mostert,30.2,521,5.0,2,19,16,156,44.58,47.49,37.5,4.35,62.5,5.4,7.01,22.11,55.76,22.11,2020,RB,Raheem Mostert,SF,8,104,1,1,1,10.5,83.7
209,209,44,14917,R. Burkhead,32.0,274,4.08,3,33,25,192,40.12,32.36,29.85,3.7,70.14,4.25,6.7,17.91,35.82,46.26,2020,RB,Rex Burkhead,NE,10,67,3,0,0,8.3,82.6
210,210,49,18858,J. Mixon,26.0,428,3.59,3,26,21,138,66.04,81.46,46.21,3.76,53.78,3.45,6.53,13.44,26.89,59.66,2020,RB,Joe Mixon,CIN,6,119,1,1,1,13.1,78.6
211,211,55,20868,A. Mattison,24.0,434,4.52,2,15,13,125,25.52,27.13,16.66,5.68,83.33,4.28,7.15,32.29,46.87,20.83,2020,RB,Alexander Mattison,MIN,13,96,1,0,0,5.7,73.9
212,212,54,18877,C. McCaffrey,26.1,225,3.81,5,19,17,149,75.94,82.97,30.5,3.5,69.49,3.92,6.76,23.72,38.98,35.59,2020,RB,Christian McCaffrey,CAR,3,59,1,0,0,24.5,73.4
213,213,50,20039,B. Scott,27.2,374,4.67,1,36,25,212,32.45,30.93,66.25,4.98,33.75,4.07,6.63,20.0,33.75,45.0,2020,RB,Boston Scott,PHI,16,80,1,2,0,4.4,70.6
214,214,51,19033,B. Hill,26.7,465,4.65,1,30,25,199,28.41,28.76,24.0,6.83,76.0,3.96,6.6,14.0,37.0,49.0,2020,RB,Brian Hill,ATL,16,100,0,2,1,4.4,70.4
215,215,57,16668,C. Hyde,31.8,356,4.39,4,20,16,93,36.44,36.33,46.91,4.0,54.32,4.7,6.83,22.22,39.5,39.5,2020,RB,Carlos Hyde,SEA,10,81,0,1,0,6.9,68.9
216,216,56,17970,D. Booker,30.1,423,4.54,3,21,17,84,21.99,23.31,37.63,4.37,62.36,4.65,6.81,24.73,36.55,38.7,2020,RB,Devontae Booker,LV,16,93,0,1,0,4.3,68.7
217,217,61,19828,S. Michel,27.4,449,5.68,1,9,7,114,31.52,37.44,25.31,4.2,74.68,6.18,7.25,37.97,41.77,20.25,2020,RB,Sony Michel,NE,9,79,1,0,0,7.6,68.3
218,218,42,16056,J. White,30.4,121,3.45,2,62,49,375,37.54,24.61,62.85,3.81,37.14,2.84,6.45,17.14,17.14,65.71,2020,RB,James White,NE,14,35,1,1,0,4.8,67.6
219,219,62,20950,B. Snell Jr.,24.4,368,3.31,4,14,10,61,25.73,31.01,52.25,4.63,47.74,1.86,7.12,37.83,24.32,36.03,2020,RB,Benny Snell Jr.,PIT,16,111,0,2,1,4.1,64.9
220,220,52,19824,K. Ballage,26.5,303,3.32,3,37,29,166,38.27,37.64,53.84,3.81,46.15,2.76,6.79,16.48,43.95,39.56,2020,RB,Kalen Ballage,LAC,11,91,0,1,0,5.9,64.9
221,221,59,14901,K. Juszczyk,31.2,64,3.8,2,29,19,202,43.8,8.6,17.6,2.3,82.4,4.1,7.88,70.6,29.4,0.0,2020,RB,Kyle Juszczyk,SF,16,17,4,1,0,3.9,62.6
222,222,67,20128,P. Lindsay,28.0,502,4.25,1,14,7,28,39.43,42.58,44.06,4.38,55.93,4.15,6.43,12.71,30.5,56.77,2020,RB,Phillip Lindsay,DEN,11,118,0,0,0,5.4,59.0
223,223,63,14967,L. Bell,30.4,328,4.0,2,20,16,138,36.18,38.93,56.09,4.02,45.12,3.86,6.42,9.75,37.8,51.21,2020,RB,Le'Veon Bell,KC,11,82,0,1,0,5.3,58.6
224,224,60,21776,J. Kelley,24.6,354,3.18,2,23,23,148,27.03,28.09,37.83,3.14,62.16,3.21,6.72,19.81,28.82,51.35,2020,RB,Joshua Kelley,LAC,14,111,0,2,2,4.2,58.2
225,225,66,21843,S. Ahmed,23.5,319,4.25,3,14,11,61,51.04,57.05,72.0,5.03,28.0,2.23,6.7,13.33,44.0,41.33,2020,RB,Salvon Ahmed,MIA,6,75,0,0,0,9.7,58.0
226,226,58,16838,D. Johnson,28.8,235,3.05,1,35,28,249,50.53,45.16,63.63,2.69,36.36,3.67,6.98,24.67,54.54,19.48,2020,RB,Duke Johnson,HOU,11,77,1,3,2,5.1,56.4
227,227,68,18993,S. Perine,26.8,301,4.77,3,12,11,66,18.89,17.28,65.07,4.21,34.92,5.81,6.58,12.69,46.03,39.68,2020,RB,Samaje Perine,CIN,16,63,0,0,0,3.4,54.7
228,228,64,19822,K. Johnson,25.0,181,3.48,2,26,19,187,27.55,18.18,34.61,4.16,65.38,3.11,6.76,17.3,44.23,38.46,2020,RB,Kerryon Johnson,DET,16,52,1,1,1,3.3,52.8
229,229,75,18375,P. Barber,28.4,258,2.74,4,7,4,12,17.44,19.8,35.1,2.66,64.89,2.78,7.32,39.36,46.8,13.82,2020,RB,Peyton Barber,WAS,16,94,0,0,0,3.2,51.0
230,230,71,19979,J. Wilkins,28.0,308,3.66,1,16,12,105,16.8,19.92,47.61,3.97,52.38,3.38,6.95,29.76,33.33,36.9,2020,RB,Jordan Wilkins,IND,15,84,0,0,0,3.3,49.3
231,231,70,20837,T. Johnson,24.8,254,4.7,1,21,16,99,21.98,20.6,25.92,4.14,74.07,4.9,6.55,11.11,38.88,50.0,2020,RB,Ty Johnson,NYJ,13,54,1,0,0,3.6,47.3
232,232,77,13337,M. Ingram II,32.5,299,4.15,2,8,6,50,23.03,29.09,98.61,4.19,1.38,1.0,7.19,25.0,59.72,15.27,2020,RB,Mark Ingram II,BAL,11,72,0,0,0,4.3,46.9
233,233,69,20064,J. Jackson,26.2,270,4.57,0,24,19,173,28.82,27.94,49.15,4.44,50.84,4.7,6.38,5.08,32.2,62.71,2020,RB,Justin Jackson,LAC,9,59,0,0,0,5.1,46.3
234,234,65,15150,C. Patterson,31.3,232,rushingyardsperattempt,1,25,21,132,18.32,0,0,0,0,0,0,0,0,0,2020,RB,Cordarrelle Patterson,CHI,16,64,0,0,0,2.6,42.4
235,235,78,21797,L. Perine,24.4,232,3.62,2,15,11,63,30.26,29.47,37.5,3.75,62.5,3.52,6.48,10.93,35.93,53.12,2020,RB,La'Mical Perine,NYJ,10,64,0,0,0,4.2,41.5
236,236,72,19924,I. Smith,26.8,268,4.25,1,26,17,75,22.8,22.87,41.26,4.26,60.31,4.13,6.57,14.28,31.74,55.55,2020,RB,Ito Smith,ATL,14,63,0,1,0,2.9,40.3
237,237,74,21804,D. Dallas,23.8,108,3.17,2,20,17,111,18.11,17.36,67.64,2.78,32.35,4.0,6.79,14.7,44.11,41.17,2020,RB,DeeJay Dallas,SEA,12,34,1,0,0,3.3,39.9
238,238,84,21802,A. Dillon,24.2,242,5.26,2,2,2,21,13.47,13.87,47.82,6.13,52.17,4.45,7.06,26.08,52.17,21.73,2020,RB,AJ Dillon,GB,11,46,0,0,0,3.5,38.3
239,239,73,12708,D. Lewis,31.8,115,3.96,2,30,19,127,29.0,15.01,55.17,4.87,44.82,2.84,6.24,17.24,24.13,55.17,2020,RB,Dion Lewis,NYG,16,29,1,3,2,2.4,38.2
