Rank,PlayerID,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
79,14901,Kyle Juszczyk,SF,FB,16,8,30,3.8,0,40,30,324,1,2,2,2.3,37.4
80,14917,Rex Burkhead,NE,RB,8,57,186,3.3,0,20,14,131,1,2,1,4.5,35.7
81,17053,Malcolm Brown,LAR,RB,12,43,212,4.9,0,7,5,52,1,0,0,2.9,34.4
82,17217,Raheem Mostert,SF,RB,9,34,261,7.7,1,7,6,25,0,1,1,3.6,32.6
83,20360,Jeff Wilson Jr.,SF,RB,6,66,266,4,0,15,12,98,0,3,2,5.4,32.4
84,20040,Trenton Cannon,NYJ,RB,16,38,113,3,1,25,17,144,0,0,0,2,31.7
85,14783,James Develin,NE,FB,16,6,8,1.3,4,18,12,61,0,0,0,1.9,30.9
86,18996,Wayne Gallman,NYG,RB,15,51,176,3.5,1,22,14,89,0,2,1,2,30.5
87,19824,Kalen Ballage,MIA,RB,12,36,191,5.3,1,11,9,56,0,1,1,2.4,28.7
88,16989,Marcus Murphy,BUF,RB,11,52,250,4.8,0,19,11,26,0,1,0,2.5,27.6
89,13741,Brandon Bolden,MIA,RB,16,8,91,11.4,2,3,3,13,1,1,1,1.6,26.4
90,17360,Rod Smith,DAL,RB,16,44,127,2.9,1,12,9,60,0,0,0,1.5,24.7
91,20074,Jason Cabinda,LV,FB,10,0,0,0,0,0,0,0,0,0,0,1.8,18.5
92,18093,Andy Janovich,DEN,FB,16,2,5,2.5,0,10,8,112,1,0,0,1.1,17.7
93,15555,Zach Line,NO,FB,16,9,41,4.6,0,10,5,14,2,0,0,1.1,17.5
94,13418,Anthony Sherman,KC,FB,16,1,2,2,0,9,8,96,1,0,0,1,15.8
95,18152,Dwayne Washington,NO,RB,6,27,154,5.7,0,0,0,0,0,0,0,2.6,15.4
95,19205,Taquan Mizzell,CHI,RB,9,9,16,1.8,0,10,8,78,1,0,0,1.7,15.4
97,19033,Brian Hill,ATL,RB,9,20,157,7.8,0,2,1,9,0,1,1,1.6,14.6
98,16934,Cameron Artis-Payne,CAR,RB,9,19,69,3.6,1,4,3,15,0,0,0,1.6,14.4
99,19072,Alex Armah,CAR,FB,16,9,15,1.7,2,1,1,5,0,0,0,0.9,14
100,19861,Ronald Jones II,TB,RB,9,23,44,1.9,1,9,7,33,0,0,0,1.5,13.7
101,20500,Darrel Williams,KC,RB,4,13,44,3.4,0,3,3,27,1,0,0,3.3,13.1
102,12774,Stevan Ridley,PIT,RB,10,29,80,2.8,1,4,3,18,0,2,2,1.2,11.8
103,17197,Corey Grant,JAX,RB,5,13,40,3.1,0,12,9,67,0,0,0,2.1,10.7
104,18061,DeAndre Washington,LV,RB,10,30,115,3.8,0,1,1,9,0,1,1,1,10.4
105,19957,John Kelly,LAR,RB,4,27,74,2.7,0,3,2,27,0,0,0,2.5,10.1
106,20598,Keith Ford,BUF,RB,2,21,79,3.8,0,5,3,21,0,0,0,5,10
107,16307,Charcandrick West,KC,RB,3,2,-1,-0.5,0,3,2,37,1,0,0,3.2,9.6
108,18652,C.J. Ham,MIN,FB,15,6,8,1.3,0,15,11,85,0,0,0,0.6,9.3
109,16524,Devonta Freeman,ATL,RB,2,14,68,4.9,0,7,5,23,0,0,0,4.6,9.1
110,18957,D'Onta Foreman,HOU,RB,1,7,-1,-0.1,0,2,2,28,1,1,0,8.7,8.7
111,20566,Dontrell Hilliard,CLE,RB,11,0,0,0,0,10,9,105,0,0,0,0.8,8.5
112,19915,Mark Walton,CIN,RB,14,14,34,2.4,0,8,5,41,0,0,0,0.5,7.5
112,18617,Elijhaa Penny,NYG,RB,12,7,25,3.6,0,9,8,50,0,0,0,0.6,7.5
114,15185,Kenjon Barner,CAR,RB,9,19,71,3.7,0,1,1,3,0,1,0,0.8,7.4
115,14786,Patrick DiMarco,BUF,FB,16,1,9,9,0,4,3,62,0,0,0,0.4,7.1
116,20309,Detrez Newsome,LAC,RB,9,11,49,4.5,0,2,2,19,0,0,0,0.8,6.8
117,20327,Roc Thomas,MIN,RB,5,8,30,3.8,0,4,2,21,0,0,0,1,5.1
118,20159,Mike Boone,MIN,RB,8,11,47,4.3,0,3,2,1,0,0,0,0.6,4.8
119,16534,Roosevelt Nix,PIT,FB,16,1,4,4,0,6,4,38,0,0,0,0.3,4.2
120,14891,Tommy Bohanon,JAX,FB,16,1,0,0,0,9,6,41,0,0,0,0.3,4.1
121,19032,T.J. Logan,ARI,RB,10,2,2,1,0,7,7,37,0,0,0,0.4,3.9
121,18256,Byron Marshall,WAS,RB,6,3,9,3,0,6,4,30,0,0,0,0.6,3.9
123,18339,Tre Madden,SEA,RB,14,3,3,1,0,3,2,35,0,0,0,0.3,3.8
124,18993,Samaje Perine,WAS,RB,5,8,32,4,0,4,3,5,0,0,0,0.7,3.7
125,20016,David Williams,JAX,RB,3,8,36,4.5,0,0,0,0,0,0,0,1.2,3.6
126,18041,Tyler Ervin,HOU,RB,9,0,0,0,0,4,3,35,0,1,0,0.4,3.5
127,20472,Shaun Wilson,TB,RB,5,6,29,4.8,0,5,3,5,0,0,0,0.7,3.4
128,14872,Mike Gillislee,NO,RB,4,16,43,2.7,0,1,1,9,0,1,1,0.8,3.2
129,16112,Jeremy Hill,NE,RB,1,4,25,6.2,0,1,1,6,0,0,0,3.1,3.1
130,15207,Benjamin Cunningham,CHI,RB,15,11,20,1.8,0,2,1,9,0,0,0,0.2,2.9
131,16867,Jeremy Langford,ATL,RB,1,9,25,2.8,0,0,0,0,0,0,0,2.5,2.5
132,16378,Keith Smith,LV,FB,16,1,0,0,0,7,5,23,0,0,0,0.1,2.3
133,14352,Travaris Cadet,CAR,RB,1,11,17,1.5,0,1,1,5,0,0,0,2.2,2.2
134,20562,De'Lance Turner,BAL,RB,4,1,4,4,0,2,2,17,0,0,0,0.5,2.1
135,15631,Derrick Coleman,ARI,FB,16,2,3,1.5,0,3,2,17,0,0,0,0.1,2
136,17965,C.J. Prosise,SEA,RB,5,1,-3,-3,0,3,3,22,0,0,0,0.4,1.9
136,19529,Justin Davis,LAR,RB,11,2,19,9.5,0,0,0,0,0,0,0,0.2,1.9
138,5451,Jonathan Stewart,NYG,RB,3,6,17,2.8,0,0,0,0,0,0,0,0.6,1.7
139,15966,David Fluellen,TEN,RB,7,4,16,4,0,0,0,0,0,0,0,0.2,1.6
139,18132,Darius Jackson,DAL,RB,4,6,16,2.7,0,1,0,0,0,0,0,0.4,1.6
141,12787,Nick Bellore,DET,FB,14,1,0,0,0,4,4,15,0,0,0,0.1,1.5
141,18349,Brandon Wilds,JAX,RB,3,6,15,2.5,0,0,0,0,0,0,0,0.5,1.5
141,20191,Godwin Igwebuike,SF,RB,6,0,0,0,0,0,0,0,0,0,0,0.2,1.5
144,7969,Jamaal Charles,JAX,RB,2,6,7,1.2,0,3,2,7,0,0,0,0.7,1.4
145,14789,Jamize Olawale,DAL,FB,16,0,0,0,0,4,2,13,0,0,0,0.1,1.3
145,18115,Derek Watt,LAC,FB,16,4,11,2.8,0,1,1,2,0,0,0,0.1,1.3
147,19206,Ricky Ortiz,ATL,FB,12,0,0,0,0,4,3,11,0,0,0,0.1,1.1
148,15256,Christine Michael,IND,RB,1,2,9,4.5,0,0,0,0,0,0,0,0.9,0.9
148,18376,Alan Cross,TB,FB,14,0,0,0,0,5,2,9,0,0,0,0.1,0.9
148,16815,Ameer Abdullah,MIN,RB,10,1,1,1,0,4,3,28,0,1,1,0.1,0.9
151,18451,Rob Kelley,WAS,RB,2,4,8,2,0,0,0,0,0,0,0,0.4,0.8
151,18464,J.D. McKissic,SEA,RB,5,3,8,2.7,0,1,0,0,0,0,0,0.2,0.8
153,16928,Michael Burton,CHI,FB,8,0,0,0,0,1,1,6,0,0,0,0.1,0.6
154,19065,Jeremy McNichols,IND,RB,1,2,4,2,0,0,0,0,0,0,0,0.4,0.4
155,18114,Danny Vitale,GB,FB,5,0,0,0,0,2,1,2,0,0,0,0,0.2
156,18073,Jonathan Williams,IND,RB,3,3,0,0,0,1,1,1,0,0,0,0,0.1
157,13063,Taiwan Jones,BUF,RB,6,0,0,0,0,2,0,0,0,0,0,0,0
157,16441,Senorise Perry,MIA,RB,16,0,0,0,0,0,0,0,0,0,0,0,0
157,18488,Tra Carson,GB,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
157,19209,Patrick Ricard,BAL,FB,10,0,0,0,0,0,0,0,0,0,0,0,0
157,19541,Shane Smith,NYG,FB,2,0,0,0,0,0,0,0,0,0,0,0,0
157,20318,Buddy Howell,HOU,RB,15,0,0,0,0,0,0,0,0,0,0,0,0
157,17050,Thomas Rawls,CIN,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
157,19626,Dare Ogunbowale,TB,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
157,19078,Matt Dayes,SF,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
157,19599,Trey Edmunds,PIT,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
157,20039,Boston Scott,PHI,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
168,19085,De'Angelo Henderson,NYJ,RB,1,2,19,9.5,0,0,0,0,0,1,1,-0.1,-0.1
169,14533,Robert Turbin,IND,RB,2,4,10,2.5,0,2,1,3,0,1,1,-0.4,-0.7
