Rank,PlayerID,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,16771,Todd Gurley II,LAR,RB,14,256,1251,4.9,17,81,59,580,4,1,1,22.4,313.1
2,19766,Saquon Barkley,NYG,RB,16,261,1307,5,11,121,91,721,4,0,0,18.4,294.8
3,18877,Christian McCaffrey,CAR,RB,16,219,1098,5,7,124,107,867,6,4,1,17.4,278.5
4,18878,Alvin Kamara,NO,RB,15,194,883,4.6,14,105,81,709,4,1,0,18.2,273.2
5,17923,Ezekiel Elliott,DAL,RB,15,304,1435,4.7,6,95,77,567,3,6,1,16.8,252.2
6,16776,Melvin Gordon III,LAC,RB,12,175,885,5.1,10,66,50,490,4,1,0,18.8,225.5
7,18983,James Conner,PIT,RB,13,215,973,4.5,12,71,55,497,1,4,2,17.3,225
8,18944,Kareem Hunt,KC,RB,11,181,824,4.6,7,35,26,378,7,0,0,18.6,204.2
9,18858,Joe Mixon,CIN,RB,14,237,1168,4.9,8,55,43,296,1,0,0,14.3,200.4
10,16847,David Johnson,ARI,RB,16,258,940,3.6,7,76,50,446,3,3,2,12.3,196.6
11,16056,James White,NE,RB,16,94,425,4.5,5,123,87,751,7,0,0,11.8,189.6
12,20128,Phillip Lindsay,DEN,RB,15,192,1037,5.4,9,47,35,241,1,0,0,12.5,187.8
13,17959,Derrick Henry,TEN,RB,16,215,1059,4.9,12,18,15,99,0,1,1,11.6,186.36
14,19119,Chris Carson,SEA,RB,14,247,1151,4.7,9,24,20,163,0,3,2,13,181.4
15,19798,Nick Chubb,CLE,RB,16,192,996,5.2,8,29,20,149,2,0,0,10.9,174.5
16,4807,Adrian Peterson,WAS,RB,16,251,1042,4.2,7,26,20,208,1,3,2,10.6,169
17,19003,Tarik Cohen,CHI,RB,16,99,444,4.5,3,91,71,725,5,7,3,10.2,162.94
18,16834,Tevin Coleman,ATL,RB,16,167,800,4.8,4,44,32,276,5,2,0,10.1,161.6
19,18998,Marlon Mack,IND,RB,12,195,908,4.7,9,26,17,103,1,2,2,13.4,161.1
20,18067,Jordan Howard,CHI,RB,16,250,935,3.7,9,27,20,145,0,2,1,10,160
21,18003,Kenyan Drake,MIA,RB,16,120,535,4.5,4,73,53,477,5,2,1,9.6,153.2
22,13791,Lamar Miller,HOU,RB,14,210,973,4.6,5,35,25,163,1,1,1,10.5,147.6
23,19045,Aaron Jones,GB,RB,12,133,728,5.5,8,35,26,206,1,1,1,12.1,145.4
24,19319,Matt Breida,SF,RB,14,153,814,5.3,3,31,27,261,2,1,1,9.7,135.5
25,19828,Sony Michel,NE,RB,13,209,931,4.5,6,11,7,50,0,1,1,10.2,132.1
26,18375,Peyton Barber,TB,RB,16,234,871,3.7,5,29,20,92,1,1,1,8.1,130.3
27,19562,Austin Ekeler,LAC,RB,14,106,554,5.2,3,53,39,404,3,1,1,9.3,129.8
28,13337,Mark Ingram II,NO,RB,12,138,645,4.7,6,27,21,170,1,3,1,10.1,121.5
29,16127,Isaiah Crowell,NYJ,RB,13,143,685,4.8,6,28,21,152,0,0,0,9.2,119.7
30,16797,T.J. Yeldon,JAX,RB,14,104,414,4,1,77,55,487,4,1,1,8.4,118.1
31,18872,Dalvin Cook,MIN,RB,11,133,615,4.6,2,49,40,305,2,2,2,10.2,112
32,15071,Latavius Murray,MIN,RB,16,140,578,4.1,6,26,22,141,0,0,0,6.9,109.9
33,19822,Kerryon Johnson,DET,RB,10,118,641,5.4,3,39,32,213,1,1,1,10.7,107.4
34,16887,Mike Davis,SEA,RB,15,112,514,4.6,4,42,34,214,1,0,0,6.9,102.8
35,14385,Doug Martin,LV,RB,16,172,723,4.2,4,24,18,116,0,3,3,6.4,101.9
36,12708,Dion Lewis,TEN,RB,16,155,517,3.3,1,67,59,400,1,1,1,6.4,101.7
37,18803,Leonard Fournette,JAX,RB,8,133,439,3.3,5,26,22,185,1,0,0,12.3,98.4
38,19912,Nyheim Hines,IND,RB,16,85,314,3.7,2,81,63,425,2,1,0,6.1,97.9
39,18088,Alex Collins,BAL,RB,10,114,411,3.6,7,21,15,105,1,3,3,9.4,93.6
40,11932,LeSean McCoy,BUF,RB,14,161,514,3.2,3,46,34,238,0,0,0,6.7,93.2
41,5820,Frank Gore,MIA,RB,14,156,722,4.6,0,16,12,124,1,1,0,6.5,90.6
42,18070,Wendell Smallwood,PHI,RB,16,87,364,4.2,3,35,28,230,2,2,1,5.6,89.4
43,18690,Jalen Richard,LV,RB,16,55,259,4.7,1,81,68,607,0,3,2,5.5,88.6
44,16668,Carlos Hyde,JAX,RB,14,172,571,3.3,5,17,10,33,0,2,1,6.3,88.4
45,20239,Gus Edwards,BAL,RB,11,137,718,5.2,2,2,2,20,0,0,0,8,87.8
46,18995,Jamaal Williams,GB,RB,16,121,464,3.8,3,41,27,210,0,0,0,5.5,87.4
47,19823,Royce Freeman,DEN,RB,14,130,521,4,5,20,14,72,0,1,1,6.2,87.3
48,16838,Duke Johnson,CLE,RB,16,40,201,5,0,62,47,429,3,1,0,5.3,85
49,16189,Alfred Blue,HOU,RB,16,150,499,3.3,2,27,20,154,0,0,0,4.8,77.3
50,12296,LeGarrette Blount,DET,RB,16,154,418,2.7,5,15,10,67,0,2,1,4.8,76.5
51,16031,Damien Williams,KC,RB,14,50,256,5.1,4,24,23,160,2,1,1,5.4,75.6
52,20075,Josh Adams,PHI,RB,13,120,511,4.3,3,13,7,58,0,1,1,5.8,74.9
53,19924,Ito Smith,ATL,RB,14,90,315,3.5,4,32,27,152,0,1,0,5,70.7
54,15150,Cordarrelle Patterson,NE,RB,15,42,228,5.4,1,28,21,247,3,1,1,4.6,69.5
55,19109,Elijah McGuire,NYJ,RB,8,92,276,3,3,31,19,193,1,2,2,8.4,66.9
56,12239,Chris Ivory,BUF,RB,13,115,385,3.3,1,21,13,205,0,1,0,5,65
57,12386,Marshawn Lynch,LV,RB,6,90,376,4.2,3,20,15,84,0,0,0,10.7,64
58,19996,Jaylen Samuels,PIT,RB,14,56,256,4.6,0,29,26,199,3,1,0,4.5,63.5
59,15020,CJ Anderson,LAR,RB,11,67,403,6,2,9,5,41,1,0,0,5.7,62.4
60,19799,Rashaad Penny,SEA,RB,14,85,419,4.9,2,12,9,75,0,0,0,4.4,61.4
61,14916,Giovani Bernard,CIN,RB,12,56,211,3.8,3,48,35,218,0,0,0,5.1,60.9
62,14269,Alfred Morris,SF,RB,12,111,428,3.9,2,14,8,73,0,2,1,5,60.1
63,19548,Corey Clement,PHI,RB,11,68,259,3.8,2,25,22,192,0,4,0,5.4,59.1
64,15261,Spencer Ware,KC,RB,13,51,246,4.8,2,23,20,224,0,0,0,4.5,59
65,16886,Javorius Allen,BAL,RB,14,41,110,2.7,3,43,35,196,2,1,1,4.2,58.6
66,15126,Theo Riddick,DET,RB,14,40,171,4.3,0,74,61,384,0,0,0,4,55.5
67,15102,Chris Thompson,WAS,RB,10,43,178,4.1,0,55,41,268,1,1,0,5.1,50.6
68,17023,Zach Zenner,DET,RB,8,55,265,4.8,3,10,7,56,0,0,0,6.3,50.1
69,17970,Devontae Booker,DEN,RB,16,34,183,5.4,1,51,38,275,0,1,1,3.1,49.8
70,12800,Bilal Powell,NYJ,RB,7,80,343,4.3,0,18,11,110,1,2,1,7,49.3
71,17969,Kenneth Dixon,BAL,RB,6,60,333,5.6,2,7,6,51,0,2,1,8.1,48.4
72,20064,Justin Jackson,LAC,RB,9,50,206,4.1,2,19,15,135,0,0,0,5.1,46.1
73,6198,Darren Sproles,PHI,RB,6,29,120,4.1,1,23,15,160,2,0,0,7.7,46
74,16273,Kapri Bibbs,GB,RB,12,21,103,4.9,3,23,16,115,1,1,0,3.8,45.8
75,13299,Jacquizz Rodgers,TB,RB,16,33,106,3.2,1,45,38,304,0,1,1,2.8,45
76,19979,Jordan Wilkins,IND,RB,16,60,336,5.6,1,17,16,85,0,2,2,2.8,44.1
77,19919,Chase Edmonds,ARI,RB,16,60,208,3.5,2,23,20,103,0,1,0,2.7,43.1
78,16909,Jay Ajayi,PHI,RB,4,45,184,4.1,3,6,5,20,0,1,1,9.6,38.4
