Rank,PlayerID,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
60,20500,Darrel Williams,KC,RB,10,41,141,3.4,3,19,15,167,1,1,1,5.3,52.8
61,15102,Chris Thompson,WAS,RB,11,37,138,3.7,0,58,42,378,0,1,0,4.7,51.6
62,19797,Derrius Guice,WAS,RB,5,42,245,5.8,2,9,7,79,1,0,0,10.1,50.4
63,18464,J.D. McKissic,DET,RB,16,38,205,5.4,0,42,34,233,1,0,0,3.1,49.8
64,20159,Mike Boone,MIN,RB,16,49,273,5.6,3,4,3,17,0,0,0,2.9,47
64,19979,Jordan Wilkins,IND,RB,14,51,307,6,2,11,7,43,0,0,0,3.4,47
66,18690,Jalen Richard,LV,RB,16,39,145,3.7,0,43,36,323,0,2,0,2.9,46.8
67,21211,Patrick Laird,MIA,RB,15,62,168,2.7,1,30,23,204,0,0,0,3,45.2
68,20360,Jeff Wilson Jr.,SF,RB,10,27,105,3.9,4,5,3,34,1,0,0,4.4,43.9
69,20012,Bo Scarbrough,DET,RB,6,89,377,4.2,1,4,1,5,0,1,1,7,42.2
70,13741,Brandon Bolden,NE,RB,15,15,68,4.5,3,11,9,111,1,0,0,2.8,41.9
71,20802,Justice Hill,BAL,RB,16,58,225,3.9,2,15,8,70,0,0,0,2.6,41.5
72,12708,Dion Lewis,TEN,RB,16,54,209,3.9,0,32,25,164,1,1,1,2.6,41.3
73,19626,Dare Ogunbowale,TB,RB,16,11,17,1.5,2,47,35,286,0,2,1,2.5,40.3
74,14916,Giovani Bernard,CIN,RB,16,53,170,3.2,0,43,30,234,0,2,1,2.4,38.4
75,19824,Kalen Ballage,MIA,RB,12,74,135,1.8,3,24,14,63,0,0,0,3.2,37.8
76,20743,Ryquell Armstead,JAX,RB,16,35,108,3.1,0,24,14,144,2,0,0,2.3,37.2
76,18996,Wayne Gallman,NYG,RB,10,29,110,3.8,2,15,11,102,1,1,1,3.7,37.2
78,20837,Ty Johnson,DET,RB,16,63,273,4.3,0,31,24,109,0,1,1,2.3,36.2
79,18073,Jonathan Williams,IND,RB,9,49,235,4.8,1,5,5,59,0,0,0,3.9,35.4
