Rank,PlayerPlayerId,PlayerShortName,Targets,Receptions,ReceivingYards,ReceivingTDs,HogRate,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
27,19802,C. Ridley,93,63,866,7,null,80.9,13.61,1266,97.4,20.1,93,8,7,7.34,17.7,2.1
28,13870,M. Jones Jr.,92,62,779,9,null,94.1,14.07,1294,99.5,20.9,92,15,10,7.28,20.2,2.11
29,20873,T. McLaurin,93,58,919,7,12.9,98.2,13.94,1296,92.6,22.3,93,13,10,6.53,23,2.06
30,11063,E. Sanders,96,66,869,5,null,80.4,11.09,1065,62.6,16.1,96,14,9,6.85,18.3,1.96
31,18082,T. Hill,88,58,860,7,null,74.4,12.84,1130,94.2,19.5,88,7,4,7.02,21.9,2.14
32,20932,D. Samuel,81,57,803,3,null,72.1,7.9,640,42.7,11.2,81,17,5,7.62,18.1,2.31
33,20875,D. Metcalf,100,58,900,7,null,87.2,13.76,1376,86,23.7,100,18,17,7,20.3,1.85
34,14141,C. Beasley,105,67,778,6,null,74.6,7.76,815,54.3,12.2,105,9,2,6.67,23.4,1.72
35,5571,L. Fitzgerald,109,75,804,4,null,88.2,7.88,859,53.7,11.5,109,14,6,7.27,20.6,1.63
36,18928,C. Samuel,107,54,627,6,11.5,91,14.41,1542,96.4,28.6,107,15,8,5.86,17.7,1.6
37,20943,D. Slayton,83,48,740,8,null,79.4,14.13,1173,83.8,24.4,83,7,5,6.93,16.6,2.05
38,19815,C. Kirk,108,68,709,3,null,98.5,9.68,1045,80.4,15.4,108,12,2,7.01,24.5,1.54
39,18914,M. Williams,90,49,1001,2,null,87.5,17.43,1569,104.6,32,90,16,12,6.69,16.5,1.79
40,18187,R. Anderson,96,52,778,5,null,95.9,15.15,1454,90.9,28,96,5,10,6.41,19.5,1.67
41,21077,D. Johnson,92,59,680,5,null,66.9,9.1,837,52.3,14.2,92,7,2,6.85,18.9,1.71
42,13227,R. Cobb,83,55,828,3,null,68.8,10.2,847,56.5,15.4,83,8,3,7.5,15.5,1.87
43,16837,C. Conley,91,47,775,5,null,83.5,14.75,1342,83.9,28.6,91,8,6,6.81,16.1,1.7
44,11611,G. Tate,85,49,676,6,null,90.2,10.48,891,81,18.2,85,9,4,7.35,21.4,1.81
45,18992,D. Westbrook,101,66,660,3,null,74.3,6.81,688,45.9,10.4,101,11,6,7.28,19.4,1.51
46,21045,M. Brown,71,46,584,7,null,59,11.85,841,60.1,18.3,71,13,10,7.32,18.9,2.06
47,17048,T. Williams,64,42,651,6,null,91.3,13.25,848,65.2,20.2,64,8,7,7.38,16.5,2.24
48,9906,D. Amendola,96,62,678,1,null,66.4,8.62,828,55.2,13.4,96,9,2,7.14,18.5,1.46
49,17961,S. Shepard,85,57,576,3,null,92.5,9.35,795,79.5,13.9,85,12,5,7.18,23.4,1.64
50,16787,B. Perriman,69,36,645,6,null,66.2,16.41,1132,80.9,31.4,69,2,11,6.01,13,2
51,16003,S. Watkins,90,52,673,3,null,83.7,10.04,904,69.5,17.4,90,6,6,6.83,19.7,1.52
52,17916,W. Fuller V,71,49,670,3,null,82.8,14.77,1049,95.4,21.4,71,7,5,7.29,20.7,1.89
53,19865,J. Washington,79,44,735,3,null,68.6,14.86,1174,78.3,26.7,79,2,3,6.3,16.9,1.69
54,20924,H. Renfrow,71,49,605,4,null,54.2,6.83,485,37.3,9.9,71,12,5,7.39,17.6,1.88
55,19172,Z. Pascal,72,41,607,5,null,82.5,11.64,838,59.9,20.4,72,12,8,6.77,16.6,1.85
56,19864,A. Miller,85,52,656,2,null,66.5,10.47,890,55.6,17.1,85,10,6,6.59,15,1.5
57,14005,T. Hilton,69,45,501,5,null,73.9,10.32,712,71.2,15.8,69,8,4,6.99,24.6,1.81
58,13878,M. Sanu Sr.,89,59,520,2,null,74.2,7.45,663,44.2,11.2,89,11,4,6.8,15.6,1.39
59,14187,A. Jeffery,72,43,490,4,null,79.2,11.78,848.5,94.3,19.7,72,10,6,7.64,22.6,1.7
60,15196,K. Stills,55,40,561,4,null,73.2,11.24,618,47.5,15.4,55,4,4,7.55,13.4,2.18
61,16568,B. Cooks,72,42,583,2,null,72.2,14.14,1018,72.7,24.2,72,5,4,6.6,12.9,1.63
62,18879,C. Davis,69,43,601,2,null,80.9,12.54,865,57.7,20.1,69,3,3,6.85,16.8,1.67
63,18883,J. Smith-Schuster,72,42,552,3,null,79,9.72,700,58.3,16.7,72,8,5,6.74,18.3,1.57
64,21400,S. Sims,56,34,310,4,null,36.8,7.23,405,27,11.9,56,9,7,7.14,13.3,1.85
65,20145,A. Lazard,52,35,477,3,null,61,14.6,759,69,21.7,52,4,5,7.5,13.7,1.98
66,20057,A. Tate,81,40,575,1,null,84.7,12.35,1000,83.3,25,81,14,7,6.23,18.8,1.25
67,18047,D. Robinson,55,32,449,4,null,70.5,13.09,720,48,22.5,55,6,4,6.68,10.4,1.83
68,20006,R. Gage,74,49,446,1,null,50,7.54,558,39.9,11.4,74,14,3,7.33,12.9,1.34
69,18197,A. Erickson,78,43,529,0,null,58.2,8.47,661,41.3,15.4,78,10,4,6.7,13.2,1.23
70,16141,W. Snead IV,45,31,339,5,null,60.8,9.13,411,25.7,13.3,45,7,2,7.67,10.6,2.11
71,16781,N. Agholor,70,39,363,3,null,91.3,11.57,810,73.6,20.8,70,7,8,7.43,18,1.31
72,20988,P. Williams,60,32,428,3,null,84.6,14.88,893,111.6,27.9,60,10,9,6.75,21.4,1.51
73,16308,A. Wilson,62,43,351,1,null,51.9,5.21,323,24.8,7.5,62,6,1,7.3,12.4,1.44
74,17290,A. Humphries,47,37,374,2,13.6,52.7,7.83,368,30.7,9.9,47,4,2,7.55,14.6,1.84
75,11197,D. Thomas,59,36,433,1,null,68.9,9.86,582,52.9,16.2,59,7,2,6.95,17.2,1.45
76,16253,A. Hurns,48,32,416,2,null,57.6,11.46,550,39.3,17.2,48,6,3,7.86,8.9,1.74
77,20836,B. Johnson,45,31,294,3,null,63.3,11.47,516,39.7,16.6,45,7,5,7.06,11.7,1.76
78,18269,G. Allison,56,34,287,2,null,60.6,7.29,408,27.2,12,56,10,8,7.54,10.8,1.31
79,17141,D. Byrd,46,32,359,1,null,68.6,10.22,470,42.7,14.7,46,3,0,7.55,12.5,1.56
