Rank,PlayerPlayerId,PlayerShortName,Targets,Receptions,ReceivingYards,ReceivingTDs,HogRate,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
1,17960,M. Thomas,186,149,1725,9,null,90.7,8.27,1539,96.2,10.3,186,26,5,8.02,33.2,2.01
2,13291,J. Jones,156,99,1394,6,20.3,79.1,12.58,1962,130.8,19.8,156,16,8,7.45,25.7,1.76
3,18880,C. Godwin,119,86,1333,9,null,95.7,10.67,1270,90.7,14.8,119,13,9,7.21,22.2,2.3
4,18882,C. Kupp,134,94,1162,10,null,80.5,7.54,1010,63.1,10.7,134,21,6,7.44,21.8,2.02
5,14986,D. Hopkins,150,104,1165,7,null,100,10.63,1595,106.3,15.3,150,13,10,7.13,30.9,1.78
6,15076,K. Allen,150,104,1199,6,null,91.2,10.24,1536,96,14.8,150,20,11,7.33,26,1.74
7,16263,A. Robinson II,153,98,1147,7,null,97,11.49,1758,109.9,17.9,153,20,9,6.83,27,1.67
8,8355,J. Edelman,154,100,1117,6,null,88.5,9.5,1463,91.4,14.6,154,22,3,7.06,26.2,1.64
9,18977,K. Golladay,116,65,1190,11,null,91.7,15.74,1826,114.1,28.1,116,16,14,6.83,21.1,2.14
10,16765,A. Cooper,119,79,1189,8,null,77.7,12.79,1522,95.1,19.3,119,9,9,7.5,20.7,2.07
11,16775,D. Parker,128,72,1202,9,null,88.3,13.84,1772,110.8,24.6,128,16,9,6.82,21.1,1.92
12,16020,J. Landry,138,83,1174,6,null,95.4,10.05,1387,86.7,16.7,138,21,9,6.68,26.6,1.72
13,16830,T. Lockett,110,82,1057,8,null,92.7,13.45,1479,92.4,18,110,23,13,7.23,22.3,2.14
14,14871,R. Woods,140,90,1134,2,null,92.9,8.02,1123,74.9,12.5,140,10,3,6.68,23.4,1.66
15,16597,M. Evans,118,67,1157,8,null,89.6,15.89,1875,144.2,28,118,18,15,6.33,23.8,1.96
16,19844,D. Moore,135,87,1175,4,null,92.4,11.33,1529,101.9,17.6,135,13,6,6.72,24.3,1.71
17,19816,D. Chark Jr.,117,73,1008,8,null,86,12.41,1452,96.8,19.9,117,15,15,6.82,21.8,1.91
18,17986,T. Boyd,147,90,1045,5,null,92,9.31,1369,85.6,15.2,147,11,4,7.45,24.9,1.52
19,19800,C. Sutton,126,72,1112,6,null,95.5,12.38,1560,97.5,21.7,126,20,14,6.43,26.1,1.77
20,16640,J. Brown,115,72,1060,6,null,94.9,14.59,1677.5,111.8,23.3,115,10,5,6.5,25.7,1.91
21,21042,A. Brown,84,52,1051,8,null,72.3,13.57,1140,71.2,21.9,84,8,6,7.02,19.5,2.58
22,16906,S. Diggs,93,63,1129,6,null,83.1,14.99,1394,92.9,22.1,93,5,7,7.42,21.9,2.3
23,19867,M. Gallup,112,66,1107,6,null,87.6,13.31,1491,106.5,22.6,112,7,4,7.1,21.7,1.9
24,16470,D. Adams,127,83,997,5,null,86.2,10.62,1349,112.4,16.3,127,23,9,7.58,30.3,1.66
25,16389,O. Beckham Jr.,133,74,1035,4,null,97.3,13.91,1849.5,115.6,25,133,13,12,6.45,25.6,1.51
26,16866,J. Crowder,122,78,834,6,null,84.3,7.95,970,60.6,12.4,122,16,6,6.66,24.7,1.62
