Rank,PlayerID,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
206,18099,Keenan Reynolds,SEA,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,8373,Brandon Tate,NO,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
206,18211,Cayleb Jones,MIN,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,20341,Quadree Henderson,NYG,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,20117,Da'Mari Scott,BUF,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,16916,Tony Lippett,NYG,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,19668,Lance Lenoir,DAL,WR,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,18080,Trevor Davis,GB,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,20073,Saeed Blacknall,LV,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,18241,Johnny Holton,LV,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,19098,Isaiah Ford,MIA,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,20511,Chris Lacy,DET,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,20467,Steven Dunbar,SF,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,19935,J'Mon Moore,GB,WR,12,3,2,66.7,15,0,10,5,7.5,0,0,0,0,1,1,0,-0.5
233,14111,Rod Streater,CLE,WR,3,0,0,0,0,0,0,0,0,1,-11,-11,0,0,0,-0.4,-1.1
234,20310,JJ Jones,NYJ,WR,4,1,1,100,3,0,3,3,3,1,0,0,0,2,1,-0.4,-1.7
235,16944,Kaelin Clay,NYG,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-2
235,19504,Riley McCarron,NE,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-2,-2
235,19184,JoJo Natson,LAR,WR,13,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-0.2,-2
