Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,PassAttemptsPerGame,PassingYards,CompletionPercentage,PassingTouchdowns,Interceptions,MoneyThrows,TouchdownRate,ProtectionRate,PressuredCompletionPercentage,AirYards,AirYardsPerGame,AirYardsPerAttempt,DeepBallAttempts,DeepBallCompletionPercentage
1,19801,J. Allen,26.1,35.8,4544,69.23,37,10,36,6.46,81.43,43.04,2764,172.75,4.83,69,44.92
2,20889,K. Murray,24.9,34.9,3971,67.2,26,12,24,4.65,84.95,32.8,2255,140.93,4.04,70,40
3,2593,A. Rodgers,38.6,32.9,4299,70.72,48,5,30,9.12,88.09,43.08,2021,126.31,3.84,72,44.44
4,18890,P. Mahomes,26.8,39.2,4740,66.32,38,6,39,6.46,82.29,43.1,2584,172.26,4.39,69,37.68
5,18857,D. Watson,26.8,34,4823,70.22,33,7,29,6.06,78.58,39.69,2887,180.43,5.3,61,50.81
6,14536,R. Wilson,33.6,34.9,4212,68.81,40,13,33,7.16,87.76,47.59,2425,151.56,4.34,65,35.38
7,13799,R. Tannehill,33.9,30.1,3819,65.48,33,7,21,6.86,80.99,35.95,2301,143.81,4.78,36,33.33
8,4314,T. Brady,44.9,38.1,4633,65.73,40,12,46,6.55,87.32,33.66,2923,182.68,4.79,93,39.78
9,21681,J. Herbert,24.3,39.7,4336,66.55,31,10,31,5.21,77.19,46.78,2091,139.4,3.51,65,38.46
10,19781,L. Jackson,25.5,25.1,2757,64.36,26,9,19,6.91,80,36.28,1635,109,4.34,46,36.95
11,14252,K. Cousins,33.9,32.2,4265,67.63,35,13,25,6.78,76.75,42.39,2386,149.12,4.62,58,41.37
12,732,M. Ryan,37.1,39.1,4581,65.01,26,11,26,4.15,81.4,40.22,2963,185.18,4.73,76,40.78
13,16311,D. Carr,31.3,32.3,4103,67.31,27,9,29,5.22,85.45,39.28,2176,136,4.2,65,44.61
14,3807,B. Roethlisberger,40.3,40.5,3803,65.62,33,10,26,5.42,91.3,48.31,1880.5,125.36,3.09,72,27.77
15,13320,C. Newton,33.2,24.5,2657,65.76,8,10,8,2.17,75.93,48.33,1393,92.86,3.78,26,53.84
16,9038,M. Stafford,34.4,33,4084,64.2,26,10,14,4.92,76.67,15.87,2363,147.68,4.47,61,42.62
17,19790,B. Mayfield,27.2,30.4,3563,62.75,26,8,39,5.34,78.71,41.44,2298,143.62,4.72,58,46.55
18,17922,J. Goff,27.7,36.8,3952,67.02,20,13,14,3.62,85.56,38.01,1841,122.73,3.33,48,27.08
19,16497,T. Bridgewater,29.7,32.8,3733,69.1,15,11,17,3.04,88.52,36,1879,125.26,3.81,55,43.63
20,8244,P. Rivers,40.6,33.9,4169,67.95,24,11,18,4.41,90.74,48.05,1957,122.31,3.6,51,45.09
21,7242,D. Brees,43.5,32.5,2942,70.51,24,6,13,6.15,87.84,36,1440,120,3.69,18,44.44
22,17920,C. Wentz,29.5,36.4,2620,57.43,16,15,22,3.66,80.08,32,1628,135.66,3.72,57,31.57
23,20859,D. Lock,25.7,34.1,2933,57.33,16,15,10,3.61,78.78,32.57,1543,118.69,3.48,63,26.98
24,20841,D. Jones,25.1,32,2943,62.5,11,10,19,2.45,83.97,33.33,1855,132.5,4.14,39,46.15
25,21693,J. Burrow,25.6,40.4,2688,65.34,13,5,11,3.21,80.96,25,1592,159.2,3.94,45,20
26,20880,G. Minshew,26.1,36.3,2259,66.05,16,5,13,4.89,79.66,43.05,1244,138.22,3.8,39,41.02
27,8283,R. Fitzpatrick,39.6,29.7,2091,68.53,13,8,7,4.86,84.69,60,1291,143.44,4.83,23,56.52
28,18811,M. Trubisky,27.9,29.7,2055,67,16,8,9,5.38,84.44,48.68,1108,110.8,3.73,30,26.66
29,19812,S. Darnold,25.1,30.3,2208,59.61,9,11,13,2.47,71.67,34.43,1067,88.91,2.93,37,27.02
30,12841,A. Dalton,34.7,30.3,2170,64.86,14,8,10,4.2,82.07,38.27,1159,105.36,3.48,28,28.57
31,21677,T. Tagovailoa,24.3,29,1814,64.13,11,5,10,3.79,81.29,43.18,1071,107.1,3.69,33,36.36
32,19330,N. Mullens,27.3,32.6,2437,64.72,12,12,4,3.68,91.88,51.42,1182,118.2,3.62,20,65
33,13723,N. Foles,33.5,34.7,1852,64.74,10,8,13,3.2,83.33,32.83,1237,137.44,3.96,40,42.5
34,6739,A. Smith,38.2,31.5,1582,66.66,6,8,2,2.38,81.75,27.5,656,82,2.6,25,36
35,20795,D. Haskins,25.2,34.4,1439,61.41,5,7,2,2.07,89.27,42.59,621,88.71,2.57,24,16.66
